"Symbol","Control1","Control2","Control3","Aldo1","Aldo2","Aldo3"
"RRS1",3.30676459997129,3.37082769933255,3.52425579951444,3.05543520000972,3.43286229994517,3.25294200000013
"RSAD1",1.19332500008299,1.58641429988867,1.45770259996603,1.39359089987876,1.36003589976452,1.61834050016135
"RSAD2",-3.32703019466,-2.80149460155555,-2.5817700015604,-3.79109530343709,-2.95225240421667,-3.12828539569037
"RSC1A1",-1.94233039800153,-2.17950250117457,-2.22387499801559,-1.95523450005032,-2.25443499706687,-2.4597587990976
"RSF1",0.180067713163983,0.217269257145082,0.194238653270449,0.182653440214513,0.172385533435069,0.134077073499828
"RSL1D1",1.07885503233349,1.17286135507082,1.28156875503855,0.826504710137745,1.19978692022788,0.963976612627608
"RSL24D1",0.913068750310043,1.06229781961898,1.03928476043946,0.944403204807281,1.09774590750052,1.02923684497178
"RSPH3",-1.58560279831766,-1.42796040160599,-1.61730000190719,-1.3692045018541,-1.51420400143059,-1.30951210128027
"RSPH6A",-3.01936150367972,-3.00939699830105,-3.45009660290879,-3.07899709733789,-2.29281659838026,-2.34314100094077
"RSPRY1",-0.589130399156893,-0.637702940897294,-0.587756160134927,-0.557255739566491,-0.668970099884023,-0.644783998947674
"RSRC1",0.0760040253825075,0.0434298499083807,0.126774790196278,0.0934748704786137,0.0164785494580586,-0.0819540002692764
"RSRC2",-0.454403101260202,0.578759649822866,0.607236399531413,0.794209450465934,1.01782890001189,1.09377714994852
"RSU1",-0.684248899363534,-0.778860349535342,-0.72866564969685,-0.677691448683411,-0.666587097602653,-0.844203451488816
"RTBDN",-2.22854659682082,-2.29244180045129,-2.19177910092435,-2.0005522019752,-1.13572880101147,-1.06298259952849
"RTCD1",1.02002521949288,1.16227338053067,1.07294132529369,1.01139546478279,1.21562858450828,1.17323443543143
"RTEL1",-0.384607320940654,-0.275372500765941,-0.51632119905994,-0.31342506013348,-0.52019596042322,-0.230844500126077
"RTF1",-1.80860378631642,-1.9477548835093,-1.81068867610302,-1.69097424727455,-1.83262370046765,-1.99024362514378
"RTKN",-0.741177560563062,-0.790645600718489,-0.81864356998359,-0.640208239993672,-0.929560659547397,-0.828907970061559
"RTN2",0.10189915007626,0.119676590421574,0.164561269667724,0.385900500191923,0.283822059971346,0.422238350487799
"RTN3",1.40167403227402,1.32968524284637,1.28703428402425,1.49491953481183,1.41039372762874,1.4121141375628
"RTN4",4.09224399983663,4.17168799999604,4.17605400017145,4.14738560031748,4.1369610003886,4.22758000029515
"RTN4IP1",1.43145079995614,1.41971869997542,1.4633274002538,1.28862670017147,1.15173629996575,1.06941129988795
"RTN4R",-2.34079699874884,-2.54401869632055,-2.59679840424427,-1.64399910030493,-1.99446870028609,-2.00185779990603
"RTN4RL2",-0.902908099021465,-0.805916348069572,-0.996240649887754,-0.874390801346618,-0.736223898653789,-0.806645399132121
"RTP4",0.495527270219167,0.595791800274488,0.713362700328963,0.237921709447389,0.227900500232506,0.225483899416206
"RTTN",-1.67801569880874,-1.50231930015332,-1.64030550068175,-1.95406720000753,-1.6796274007786,-1.73661420126056
"RUFY1",2.7118587000982,2.70641800003217,2.76126000001703,2.76873680008663,2.71281149993881,2.56449600010832
"RUFY2",-2.27683569711652,-2.26463680154346,-2.28079080121844,-2.19283200284209,-2.31429699983553,-2.24821874900744
"RUFY3",-2.00117185181067,-1.93093824737704,-1.99061920067731,-2.07417895014911,-2.02457115281939,-1.85996434913878
"RUNDC1",-0.595068940839355,-0.748156525631593,-0.739666484493501,-0.718328950302448,-0.786934850929458,-0.949765700463367
"RUNDC2C",-2.30272530050282,-1.34243389925298,-1.21759600137741,-2.2273060020372,-1.61372469900659,-1.87163160191646
"RUNDC3B",-3.07749839996985,-3.40038630037769,-3.40875429538304,-2.8913364035422,-3.03224180121415,-3.14256760231699
"RUNX1",-1.45160009963529,-1.00395970033383,-1.01436799899252,-1.66351409824889,-1.21680260059165,-1.23378279967503
"RUSC1",-0.0833702094784965,-0.112160680153763,-0.183073999915837,0.141059879970476,0.0530967703806774,0.161930079901439
"RUSC2",0.715064050304177,0.903155300336679,0.823477750253782,0.768016800208992,0.759358400386864,0.740648269825527
"RUVBL1",-1.20372071564337,-1.36543623351669,-1.17266765649291,-1.1842770563155,-1.38136195478849,-1.51949502798565
"RUVBL2",2.50965979994648,2.35585120002667,2.51884170000287,2.53186599989932,2.27482129988327,2.18020629994738
"RWDD1",2.81870839997211,3.0313205999905,3.11915969997422,3.04194070004023,2.96078010001071,2.93701649999532
"RWDD2A",0.202573780608155,0.317563059819286,0.27913857031738,0.283553120479022,0.241146089459472,0.393793100484686
"RWDD2B",-0.358833299754131,-0.247496600251996,-0.084198000536059,-0.417854300954735,-0.11273192934104,-0.243507390644108
"RWDD3",0.120678900031651,0.230415339574804,0.0254869457861024,-0.0606803900627975,0.25168419971459,0.228334430002771
"RWDD4",-1.07264137880866,-1.0184083045602,-1.02335075582077,-0.992757340424198,-0.862124425084749,-0.960850228763337
"RXRA",-0.47027875114858,-0.556728820959094,-0.402019501035528,-0.607384701092481,-0.446163180599075,-0.569087984334712
"RXRB",-0.169302939612645,-0.0602464679765687,-0.258096700736928,-0.157707210441387,-0.205978400637244,-0.0618782039610979
"RYBP",-0.140896166741351,0.101866419992592,-0.0490503468674902,-0.0827687572188749,0.0457026000902956,0.203260426623097
"RYK",-0.494769099779855,-0.514718999570311,-0.398500439333907,-0.370059969665668,-0.203362460675381,-0.51686860071314
"S100A10",5.20797060011372,4.98870300002231,5.10639200007146,5.24139000010607,5.21985049993186,5.08036399982773
"S100A11",2.77098704993039,2.64176319999708,2.90230510002028,2.87185715006158,2.71659274992547,2.51136210006347
"S100A13",5.61860099998647,5.2181663999184,5.30609399996551,5.47986399998361,4.96960159992944,4.86463360000213
"S100A16",4.34967330016006,3.97984700027332,4.0449123000549,4.10412899995388,3.78996179966302,3.67904569986227
"S100A2",2.79056739999081,2.38420490005957,2.51898479999794,2.55208969997502,2.16753579991532,2.057261499868
"S100A3",-0.837162000717569,-0.863758100579729,-0.718937899535566,-0.908461599692994,-0.916834830656807,-1.01340389903137
"S100A4",0.046325684547092,-0.504425050599936,-0.198208809689437,-0.490536700235164,-0.81124306041885,-0.946383498636588
"S100A6",7.4336176002692,7.61750199993291,7.6761923000347,7.7985944999727,7.5904360002575,7.65814600005179
"S100PBP",0.258207966845533,0.34569580315583,0.490424783210655,0.339715950602908,0.437289543112178,0.387812306380244
"S1PR1",2.05740549993973,2.16146369986127,1.9865111998924,2.10183529992762,1.9904575000162,1.93157580013607
"S1PR2",-1.40857499848746,-1.43518830074362,-1.5008754986936,-1.71693989773174,-1.71912000022424,-1.82036689970605
"S1PR3",-4.25668298751221,-4.23714728806244,-4.0148179886829,-2.64933010150463,-2.82015600012264,-2.8726510034426
"SAAL1",1.47340869985856,1.38942530011694,1.46697330025805,1.52867510016879,1.49458500024526,1.49397089992367
"SAC3D1",2.27371599985517,1.85978130000636,1.91617299989417,2.23849100004964,1.75724510015304,1.78313539987245
"SACM1L",0.27234172963201,0.477798460169093,0.433896059846343,0.182126999874738,0.360434530007581,0.270151139441352
"SACS",1.27255340003098,1.31752110006348,1.25747400020627,1.21457669983589,1.24206159982611,1.23907280030347
"SAE1",1.82447002004372,1.72226002515936,1.61646611424035,2.03600453047773,1.67933847451534,1.77047728030703
"SAFB",-1.56238891692206,-1.12337922511246,-0.729047050485473,-1.36910629999072,-1.324257898139,-1.26588105000118
"SAFB2",-0.106055250445178,-0.0402951250656277,-0.0871996802872325,-0.190572749503631,-0.144618514902677,-0.15257787998649
"SAMD1",-1.31015252102449,-1.84443639846616,-1.53257514842868,-1.01562263045955,-1.30783605151195,-1.57690759875582
"SAMD13",-1.40999700142514,-1.54400249953724,-1.61882779849348,-1.34545709877436,-1.63012699801629,-1.72493549861224
"SAMD3",-2.36438470097851,-2.08230970016262,-1.97935300049929,-3.13324210317168,-2.86563059977013,-2.84583229925122
"SAMD4A",0.836694735076687,1.2144756502402,0.858003615305901,0.106209754802767,0.464084140049042,0.608269684877421
"SAMD4B",-1.78073310232201,-1.50361349987272,-1.64934350175141,-1.75581260210944,-1.54526620132152,-1.41504670177896
"SAMD5",-2.25390529782143,-2.44356779849011,-2.21381470333785,-2.47685150380962,-2.21105620242924,-2.03922269830717
"SAMD8",-1.23977756241639,-0.947777750606615,-0.850292021562132,-0.642340399754624,-0.564088350704305,-0.426041600179752
"SAMD9",-0.770800348670294,-0.805661550848952,-0.766236350264105,-0.970915449207011,-0.834956275023801,-1.04811132463761
"SAMD9L",2.2221165000329,2.44656850012566,2.48741909987561,2.211377099946,2.23494530003886,2.14161199999584
