"","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
"ANKRD13C",965,1181,947,925
"HHLA3",292,332,261,267
"CTH",136,163,112,117
"PTGER3",123,89,125,93
"ZRANB2",1638,1808,1564,1730
"MIR186",4,4,4,5
"NEGR1",1,1,2,2
"LRRIQ3",34,26,20,30
"FPGT-TNNI3K",0,0,0,1
"FPGT",507,664,489,586
"LRRC53",0,1,0,0
"ERICH3",3,2,3,2
"CRYZ",1041,1469,1090,1111
"TYW3",943,1267,963,924
"LHX8",0,2,0,1
"SLC44A5",46,92,36,37
"ACADM",1619,2481,1531,1703
"RABGGTB",2931,4142,2908,3245
"SNORD45C",5,5,1,7
"SNORD45A",22,20,17,10
"SNORD45B",20,39,33,35
"MSH4",9,10,19,7
"ST6GALNAC3",0,1,0,0
"ST6GALNAC5",4,4,1,2
"PIGK",967,1340,1001,1039
"AK5",5,1,1,1
"ZZZ3",1469,1775,1440,1379
"USP33",2507,2821,2303,2411
"MIGA1",1177,1369,963,1052
"NEXN-AS1",2,7,8,10
"NEXN",134,105,99,147
"FUBP1",3136,4015,3121,3025
"DNAJB4",130,165,123,133
"GIPC2",8,5,3,5
"IFI44L",2279,452,1650,1494
"IFI44",2333,696,1857,1790
"LINC01781",0,2,0,0
"ADGRL2",547,622,503,403
"LINC01361",3,1,4,0
"LINC01725",8,17,8,10
"TTLL7",316,485,350,332
"PRKACB",134,179,139,144
"SAMD13",10,6,11,11
"DNASE2B",2,2,2,0
"RPF1",941,1343,1054,954
"GNG5",2690,3254,3156,2645
"SPATA1",20,16,25,24
"CTBS",698,824,637,679
"LINC01555",1,2,0,0
"SSX2IP",1294,1442,1249,1225
"LPAR3",35,43,47,42
"MCOLN2",267,320,233,243
"MCOLN3",191,232,201,195
"DNAI3",6,7,7,10
"SYDE2",416,529,421,419
"C1orf52",698,861,759,710
"BCL10",1028,1319,947,949
"DDAH1",1347,1808,1333,1318
"CCN1",1625,1802,1682,1405
"ZNHIT6",926,1368,985,1037
"COL24A1",59,71,62,74
"ODF2L",681,893,728,795
"MIR7856",0,0,1,6
"CLCA2",167,216,123,162
"CLCA4-AS1",9,11,8,5
"SH3GLB1",3692,4767,3478,3734
"SELENOF",2761,3827,2818,2928
"HS2ST1",1652,1969,1407,1525
"LINC01140",12,11,11,7
"LMO4",535,758,674,592
"LINC01364",0,1,0,1
"PKN2-AS1",41,59,38,34
"PKN2",2631,3104,2282,2498
"GTF2B",921,1260,908,896
"KYAT3",422,620,491,463
"RBMXL1",608,816,581,633
"GBP3",1152,1082,979,901
"GBP1",48,32,55,42
"GBP2",1163,1505,1062,1159
"GBP7",10,5,10,7
"GBP4",54,27,26,26
"GBP5",0,4,2,2
"GBP6",0,0,0,3
"GBP1P1",4,0,0,0
"LRRC8B",1211,1472,1031,1085
"LRRC8C",126,133,78,80
"LRRC8D",1817,2340,1622,1727
"ZNF326",1665,2190,1732,1647
"ZNF644",1613,1858,1459,1585
"HFM1",0,1,0,0
"CDC7",1290,1476,1304,1221
"TGFBR3",147,189,162,135
"BRDT",5,6,2,1
"EPHX4",89,144,98,101
"SETSIP",47,67,45,40
"BTBD8",50,35,35,39
"C1orf146",2,4,2,4
"GLMN",340,392,327,398
"RPAP2",446,580,465,485
"GFI1",123,165,156,158
"EVI5",665,756,574,647
"RPL5",17068,26153,21979,19457
"DIPK1A",322,396,323,329
"SNORD21",25,22,28,26
"SNORA66",10,14,23,16
"MTF2",1229,1493,1271,1294
"TMED5",1778,2341,1587,1613
"CCDC18",557,742,739,727
"DR1",1127,1631,1105,1157
"FNBP1L",4586,5989,4211,4616
"BCAR3",2342,3548,2343,2568
"DNTTIP2",2756,3825,2919,2855
"GCLM",2121,2871,1827,1959
"ABCA4",675,719,567,556
"ARHGAP29",3256,3588,2801,3003
"ABCD3",2509,3276,2216,2217
"F3",150,185,149,136
"SLC44A3-AS1",55,56,29,38
"MIR378G",0,1,3,0
"SLC44A3",317,391,294,265
"CNN3",1602,2328,1549,1587
"ALG14",187,248,179,184
"ALG14-AS1",1,0,1,3
"TLCD4",520,640,494,551
"TLCD4-RWDD3",11,10,8,4
"RWDD3-DT",1,3,6,5
"RWDD3",168,157,164,219
"LINC01787",9,14,3,9
"PTBP2",668,848,766,793
"DPYD",75,120,63,81
"DPYD-AS2",1,0,0,0
"SNX7",845,1146,762,765
"PLPPR5",1,2,0,0
"PLPPR4",11,6,6,11
"PALMD",120,111,98,96
"FRRS1",163,206,132,154
"AGL",1070,1286,979,997
"SLC35A3",3186,3574,2722,2947
"MFSD14A",1486,1946,1304,1390
"SASS6",718,898,773,779
"TRMT13",380,419,388,413
"LRRC39",31,36,32,27
"DBT",1397,1978,1389,1279
"RTCA",1477,2016,1425,1550
"MIR553",0,1,1,0
"CDC14A",107,138,114,109
"VCAM1",3,3,2,1
"EXTL2",262,368,312,294
"SLC30A7",936,1056,793,928
"DPH5",793,1088,783,768
"COL11A1",2,0,0,0
"RNPC3-DT",0,1,0,0
"RNPC3",499,634,496,523
"AMY2B",184,214,192,207
"AMY1A",0,0,1,0
"AMY1B",0,2,1,0
"PRMT6",1156,1449,1222,1049
"NTNG1",0,1,0,1
"VAV3",1777,2530,1864,1712
"VAV3-AS1",0,1,0,0
"SLC25A24",2689,2976,2272,2385
"NBPF4",3,1,1,1
"NBPF6",0,0,3,0
"FAM102B",1679,2023,1535,1529
"HENMT1",0,1,0,1
"PRPF38B",3181,3891,3711,3276
"FNDC7",5,8,2,0
"STXBP3",1120,1442,1086,1097
"AKNAD1",6,11,2,15
"SPATA42",1,0,0,2
"GPSM2",1354,1965,1480,1447
"CLCC1",1940,2497,1937,1985
"WDR47",557,687,436,511
"TAF13",410,661,429,427
"TMEM167B",1137,1571,1100,1164
"SCARNA2",2,1,9,1
"CFAP276",18,25,21,14
"ELAPOR1",5863,8203,5774,5977
"SARS1",4958,6993,4738,4519
"CELSR2",11142,12762,11887,9655
"PSRC1",1336,1885,1552,1379
"MYBPHL",3,1,1,2
"SORT1",5974,8185,5390,5545
"PSMA5",6452,8997,6665,6669
"SYPL2",137,161,140,121
"ATXN7L2",403,469,441,397
"CYB561D1",2522,3283,2286,2353
"AMIGO1",807,1113,623,676
"GPR61",9,14,8,5
"GNAI3",4146,5353,3735,3991
"MIR197",4,6,4,1
"GNAT2",63,82,59,55
"AMPD2",2272,2900,2439,2009
"GSTM4",680,1035,720,710
"GSTM2",22,15,19,40
"GSTM1",14,40,19,12
"GSTM5",1,1,0,3
"GSTM3",715,1402,883,1058
"EPS8L3",6,2,2,4
"CSF1",410,455,336,318
"AHCYL1",12600,16879,12258,12465
"STRIP1",2443,3077,2193,2146
"ALX3",176,254,178,183
"LINC01397",6,4,6,4
"UBL4B",3,1,1,2
"SLC6A17",277,368,224,196
"KCNC4",264,325,262,228
"RBM15-AS1",35,54,40,30
"RBM15",1350,1597,1359,1375
"SLC16A4",71,72,75,86
"LAMTOR5",2498,3790,2901,2880
"PROK1",2,1,5,1
"CYMP-AS1",0,1,0,0
"CD53",10,14,9,16
"LRIF1",987,1214,901,1014
"DRAM2",2460,3494,2712,2642
"CEPT1",2184,2832,2156,2358
"DENND2D",4071,5141,3990,3774
"CHI3L2",4,5,33,23
"CHIA",0,1,0,0
"PIFO",38,45,49,33
"PGBP",1,0,0,1
"OVGP1",214,260,254,246
"WDR77",3086,4188,3081,3065
"ATP5PB",9684,14143,10311,10086
"C1orf162",68,91,78,73
"RAP1A",1506,2275,1445,1529
"INKA2",243,301,271,273
"DDX20",1359,1728,1419,1455
"KCND3",28,47,43,33
"KCND3-IT1",0,0,0,1
"LINC01750",5,4,4,9
"CTTNBP2NL",910,1230,809,918
"MIR4256",0,1,0,0
"WNT2B",27,36,40,33
"ST7L",524,683,588,538
"CAPZA1",13406,18294,13159,14218
"MOV10",7928,8748,7501,7033
"RHOC",17448,24825,18036,16371
"PPM1J",170,238,195,198
"TAFA3",7,3,6,1
"LINC01356",3,5,4,5
"SLC16A1",339,404,280,315
"SLC16A1-AS1",14,9,17,11
"LRIG2-DT",2,5,8,6
"LRIG2",731,892,785,754
"MAGI3",2521,3045,2281,2424
"PHTF1",538,772,550,531
"RSBN1",835,905,752,886
"AP4B1-AS1",33,34,46,37
"PTPN22",5,9,2,8
"BCL2L15",43,33,41,31
"AP4B1",735,1027,746,835
"DCLRE1B",868,1025,835,793
"HIPK1-AS1",9,10,4,9
"HIPK1",5046,6026,4479,4590
"OLFML3",7,14,10,10
"TRIM33",2173,2451,1874,2074
"BCAS2",1066,1407,1034,1047
"DENND2C",34,56,36,40
"AMPD1",4,3,2,2
"NRAS",190,199,183,228
"CSDE1",20684,28382,19139,19550
"SIKE1",1495,1705,1407,1463
"SYCP1",1,1,1,0
"TSPAN2",7,14,6,11
"VANGL1",5321,6907,4644,4971
"CASQ2",2,7,0,3
"NHLH2",12,17,10,15
"SLC22A15",771,1042,821,952
"MAB21L3",23,40,22,26
"ATP1A1",38795,51265,34706,36499
"ATP1A1-AS1",290,249,269,240
"LINC01762",3,14,15,8
"CD58",417,484,439,448
"IGSF3",15703,18709,12875,12800
"LINC02868",2,2,2,0
"CD2",0,0,1,0
"PTGFRN",7574,9162,6392,6087
"CD101",155,186,111,151
"CD101-AS1",49,78,51,66
"TTF2",6780,8268,6941,6574
"MIR942",12,11,8,8
"TRIM45",871,1015,1013,871
"VTCN1",29653,34600,24383,23350
"MAN1A2",5344,6617,4348,4768
"TENT5C",1311,2212,1173,1625
"GDAP2",1208,1533,1055,1103
"WDR3",2601,3448,2263,2426
"SPAG17",9,17,12,5
"TBX15",7,6,5,5
"WARS2",845,1107,784,802
"WARS2-AS1",382,507,377,395
"HAO2",0,3,0,0
"LINC00622",4,7,8,11
"ZNF697",208,222,146,172
"PHGDH",1915,2672,2099,1951
"HMGCS2",80,358,82,246
"REG4",8,17,10,13
"NOTCH2",13209,16558,10433,11594
"SEC22B",2709,3777,2687,2620
"NBPF8",861,912,894,966
"PFN1P2",39,42,53,44
"NOTCH2NLR",97,112,80,93
"NBPF26",475,532,490,419
"RNVU1-19",0,2,0,0
"PPIAL4A",10,9,14,7
"H2BP1",1,1,0,0
"FAM72B",384,501,407,389
"SRGAP2C",557,763,633,599
"SRGAP2-AS1",1,1,0,2
"EMBP1",48,60,42,63
"FAM72C",92,130,104,132
"RNVU1-15",0,0,4,3
"NBPF15",2468,2879,2583,2515
"PPIAL4F",1,1,0,1
"SRGAP2B",191,259,230,157
"FAM72D",165,194,167,191
"RNVU1-14",4,4,1,3
"NBPF20",313,312,264,322
"GPR89A",438,681,495,535
"PDZK1",86,136,142,125
"CD160",138,118,97,87
"RNF115",1231,1710,1137,1241
"POLR3C",2274,2938,2108,2116
"NUDT17",170,240,193,174
"PIAS3",4046,5379,4180,3856
"MIR6736",1,5,0,1
"ANKRD35",3,0,1,1
"ITGA10",188,228,184,250
"PEX11B",2668,3701,2530,2803
"GNRHR2",40,36,32,42
"RBM8A",4585,6368,4839,4646
"LIX1L",42,71,45,40
"POLR3GL",640,974,745,685
"ANKRD34A",177,211,195,202
"TXNIP",8958,8520,8380,8730
"HJV",1,2,1,2
"RNVU1-6",1,2,0,4
"NBPF10",204,541,289,255
"NOTCH2NLA",57,66,87,19
"NBPF12",1416,1731,1518,1581
"PRKAB2",1121,1502,1083,1265
"FMO5",186,229,172,175
"CHD1L",3764,5127,3739,4012
"LINC00624",3,3,4,3
"BCL9",2198,2559,1964,1909
"ACP6",1070,1410,1159,1083
"GJA5",8,25,10,13
"GJA8",0,0,1,0
"GPR89B",259,365,293,308
"RNVU1-7",1,1,0,2
"NBPF11",1044,1133,1195,1195
"RNVU1-3",0,3,0,0
"PPIAL4G",1,2,1,0
"NBPF14",947,1126,958,1090
"NOTCH2NLB",108,122,143,99
"NUDT4B",12,16,25,12
"PDE4DIP",1112,1500,956,988
"NBPF9",774,948,800,746
"NBPF19",991,1340,1054,1017
"PPIAL4C",9,5,1,3
"H2BC18",173,164,169,173
"FCGR1A",51,74,50,54
"H3C13",22,23,24,13
"H4C14",1,4,11,4
"H2AC18",11,9,28,10
"H2AC19",7,4,14,6
"H3C15",1,1,4,0
"H4C1",2,3,8,3
"H4C4",28,18,30,21
"H4C13",0,2,5,0
"H4C6",0,0,5,0
"H4C3",7,3,9,1
"H4C8",246,281,268,232
"H4C11",5,9,12,7
"H4C12",16,9,21,10
"H4C2",3,6,14,3
"H4C5",47,34,63,81
"H4C9",52,51,98,57
"H4C16",170,160,203,131
"H4C15",0,0,5,0
"H2BC21",2141,2111,2507,2310
"H2AC20",57,65,90,66
"H2AC21",19,24,26,27
"BOLA1",1087,1364,1583,916
"SV2A",30,38,24,35
"SF3B4",9832,11926,9784,9133
"MTMR11",1135,1432,1277,1268
"OTUD7B",2348,3088,2087,2106
"VPS45",4078,5348,4290,4068
"PLEKHO1",213,237,196,184
"ANP32E",2094,2935,2344,2346
"CA14",75,87,79,95
"APH1A",13609,17588,12688,12438
"C1orf54",43,43,37,34
"CIART",699,741,810,555
"MRPS21",828,1139,1146,953
"PRPF3",6000,7053,6055,5826
"RPRD2",4627,5738,4243,4198
"TARS2",4220,5996,4278,4333
"MIR6878",1,5,0,2
"ECM1",62,92,70,66
"FALEC",11,7,7,8
"ADAMTSL4",129,134,95,84
"MCL1",15209,19409,14393,16163
"ENSA",12733,18011,14526,13166
"GOLPH3L",2203,3009,2047,2189
"HORMAD1",0,0,0,1
"CTSS",223,219,212,189
"CTSK",535,629,529,547
"ARNT",2953,3870,2747,2820
"SETDB1",5472,6779,5326,5502
"CERS2",21045,27163,21371,19825
"ANXA9",2234,2814,2343,1954
"MINDY1",2831,3706,2838,2734
"PRUNE1",2456,3035,2133,2230
"BNIPL",181,246,185,188
"C1orf56",456,572,611,442
"CDC42SE1",13626,17897,12293,13214
"MLLT11",126,142,109,106
"GABPB2",734,958,783,721
"SEMA6C",171,218,230,181
"TNFAIP8L2",9,6,8,14
"LYSMD1",975,1366,972,1004
"SCNM1",39,52,38,30
"TMOD4",59,79,63,74
"VPS72",3352,4540,3883,3327
"PIP5K1A",13276,17287,13503,13708
"PSMD4",9938,14322,11253,10646
"ZNF687",5824,7092,5880,5044
"PI4KB",7845,9742,6968,6977
"RFX5",6915,8688,6724,6821
"SELENBP1",6899,8770,7362,6875
"PSMB4",16692,24190,18154,17711
"POGZ",9146,10638,9535,9338
"CGN",4552,5558,4318,4193
"TUFT1",7896,10910,7016,7485
"MIR554",1,1,1,1
"SNX27",6092,8002,5858,6005
"CELF3",29,43,27,23
"RIIAD1",11,8,9,13
"MRPL9",2840,3879,3102,2953
"OAZ3",89,150,97,117
"TDRKH",1515,2077,1562,1561
"LINGO4",2,1,0,0
"RORC",66,72,86,49
"C2CD4D",45,76,63,39
"THEM5",28,44,33,43
"THEM4",384,497,390,410
"S100A10",12593,17662,13637,13491
"S100A11",27142,36533,30801,29364
"TCHHL1",11,20,8,10
"TCHH",558,686,755,559
"HRNR",27,32,37,26
"FLG",4,7,4,4
"FLG-AS1",2,6,3,6
"FLG2",2,1,1,1
"LCE5A",0,1,0,0
"CRCT1",1,4,3,3
"LCE3E",0,1,2,0
"LCE3D",0,2,0,0
"LCE1E",1,2,0,1
"LCE1C",1,0,0,0
"LCE1B",3,1,0,2
"IVL",333,521,196,275
"SPRR1A",20,20,10,10
"SPRR3",59,55,34,29
"SPRR1B",9,12,11,3
"SPRR2A",1,0,0,0
"SPRR2F",1,3,1,1
"PGLYRP3",4,3,1,4
"PGLYRP4",23,14,18,20
"S100A9",11617,16585,14001,11467
"S100A12",5,1,1,6
"S100A8",2098,2740,2296,2362
"S100A7A",1,5,0,0
"S100A7",32,66,22,38
"S100A6",34271,50645,41601,38512
"S100A5",7,17,7,16
"S100A4",158,253,172,192
"S100A3",10,10,16,5
"S100A2",100,146,122,126
"S100A16",40237,56163,47069,42305
"S100A14",55129,85114,61519,63556
"S100A13",3657,4842,4120,3969
"S100A1",95,110,89,82
"CHTOP",4730,6163,5337,4547
"SNAPIN",2165,2991,2580,1998
"ILF2",14001,19554,13995,13706
"NPR1",7,12,10,12
"INTS3",73,500,76,268
"SLC27A3",4,9,2,32
"GATAD2B",63,83,48,48
"DENND4B",7572,8853,7813,6880
"CRTC2",4327,5445,4210,4135
"SLC39A1",16740,22115,17151,15210
"MIR6737",0,3,2,0
"CREB3L4",7888,10856,7954,8287
"JTB",13296,17890,14914,12756
"RAB13",5403,8225,6240,5673
"RPS27",13214,19023,16882,14311
"NUP210L",19,23,19,28
"MIR5698",0,0,1,1
"TPM3",30242,41024,31912,29737
"CFAP141",1,1,2,2
"C1orf43",16459,22799,16422,15259
"UBAP2L",16815,21470,15695,16200
"HAX1",6357,9945,6652,6842
"ATP8B2",700,850,812,682
"IL6R",389,538,350,386
"SHE",0,2,1,2
"TDRD10",7,3,2,0
"UBE2Q1",7776,10349,7896,7526
"UBE2Q1-AS1",11,15,18,13
"CHRNB2",125,139,99,124
"ADAR",53266,51800,43004,43955
"KCNN3",3,4,3,6
"PMVK",2888,4021,3331,2636
"PBXIP1",5062,7182,5248,4545
"PYGO2",4341,5352,4160,4063
"SHC1",5707,7524,5487,5215
"CKS1B",1866,2743,2015,1889
"MIR4258",15,21,29,15
"FLAD1",5965,8030,6110,5987
"LENEP",4,3,2,2
"ZBTB7B",5329,6462,5245,4190
"DCST2",186,181,165,192
"DCST1",105,93,99,109
"ADAM15",31235,41298,32146,26599
"EFNA4",1185,1552,1291,1201
"EFNA3",2047,2879,2439,2157
"EFNA1",5271,6368,5541,4759
"SLC50A1",11462,15949,12768,11192
"DPM3",997,1256,1580,811
"KRTCAP2",6197,7972,7297,6443
"TRIM46",1381,1654,1704,1366
"MUC1",97356,123296,91794,93225
"THBS3",6081,7269,6565,6370
"MTX1",3034,4117,3823,3147
"GBA1",3,15,5,1
"ENTREP3",0,0,3,0
"SCAMP3",1,2,0,1
"CLK2",0,1,0,1
"HCN3",1,0,0,0
"FDPS",8863,14780,9510,9768
"RUSC1-AS1",51,27,41,37
"RUSC1",15109,18831,15972,13406
"ASH1L",9442,10715,8547,8566
"POU5F1P4",7,0,4,2
"ASH1L-AS1",61,83,85,61
"MSTO1",1039,1375,1155,1148
"YY1AP1",6348,8444,6089,5983
"DAP3",8318,12146,8873,8946
"GON4L",4970,6043,4652,4657
"SYT11",13,19,7,9
"RIT1",2442,3545,2140,2487
"KHDC4",3178,2835,3607,3614
"SNORA80E",6,3,6,2
"SCARNA4",10,7,8,15
"RXFP4",6,9,2,5
"ARHGEF2",5615,7794,5475,5224
"MIR6738",0,1,2,0
"SSR2",11825,16868,11925,11961
"UBQLN4",4768,6166,4345,4216
"LAMTOR2",2969,4688,3598,3144
"RAB25",10475,15145,10821,10662
"MEX3A",1063,1147,1236,955
"LMNA",31842,39188,35756,26269
"SEMA4A",2622,3426,2450,2279
"SLC25A44",4998,6695,4503,4742
"PMF1",848,1257,1119,951
"BGLAP",7,11,6,5
"PAQR6",1974,2211,2112,1943
"SMG5",14900,18882,13502,12959
"TMEM79",2050,2848,2303,2151
"GLMP",2900,3954,2643,2655
"VHLL",2,4,2,0
"CCT3",26684,37993,26306,26522
"TSACC",88,107,90,94
"RHBG",184,166,201,153
"MIR9-1HG",15,26,22,18
"MEF2D",7448,10137,7208,6829
"IQGAP3",11127,13684,12016,11519
"TTC24",1,0,1,6
"NAXE",7080,10113,7391,6908
"GPATCH4",2699,3966,2596,2601
"HAPLN2",2,2,2,1
"BCAN",1,4,4,1
"NES",226,282,249,215
"CRABP2",36874,49589,42146,37334
"ISG20L2",5866,8092,5810,5781
"METTL25B",3281,4154,3544,3175
"MRPL24",4996,7572,5667,5638
"HDGF",30710,43166,29095,30602
"PRCC",5170,6667,5487,4579
"SH2D2A",50,80,63,65
"NTRK1",4,6,9,2
"INSRR",6,3,0,2
"PEAR1",7,14,7,14
"LRRC71",34,42,24,38
"ARHGEF11",8584,10109,7576,7261
"MIR765",3,4,5,8
"ETV3",2993,4248,2665,2779
"CYCSP52",7,6,1,6
"FCRL5",1,0,0,0
"FCRL4",1,1,0,0
"FCRL3",0,0,2,0
"CD5L",0,1,0,0
"KIRREL1",47,40,44,25
"CD1D",0,0,0,1
"CD1E",0,0,0,1
"SPTA1",0,1,0,1
"PYHIN1",3,0,2,0
"IFI16",5,5,3,2
"CADM3",1,0,0,0
"ACKR1",1,0,0,0
"FCER1A",1,0,0,0
"APCS",0,1,0,0
"DUSP23",1073,1449,1358,955
"FCRL6",2,0,0,1
"SLAMF8",12,8,8,12
"SNHG28",14,15,14,9
"VSIG8",19,25,26,14
"CFAP45",278,370,305,285
"TAGLN2",41461,59157,44046,43185
"IGSF9",1426,1508,1585,1075
"SLAMF9",1,3,5,4
"PIGM",758,999,711,853
"KCNJ10",7,8,14,6
"KCNJ9",10,10,11,6
"IGSF8",5448,6420,6046,4111
"ATP1A2",25,19,6,13
"ATP1A4",1,8,1,7
"CASQ1",3,3,3,4
"PEA15",10508,14814,10529,10369
"DCAF8",5161,6672,5364,5151
"PEX19",5065,6461,4469,4598
"NHLH1",27,49,35,50
"COPA",18757,24892,17030,18032
"NCSTN",6608,8715,6003,6149
"VANGL2",57,46,56,49
"SLAMF7",4,3,5,1
"ITLN2",1,1,0,0
"F11R",19724,27730,18221,19356
"TSTD1",3012,4114,4739,2833
"USF1",3247,4393,3135,3117
"ARHGAP30",602,894,653,652
"NECTIN4",4756,6726,4650,4897
"KLHDC9",703,905,824,688
"PFDN2",1232,1638,1844,1219
"NIT1",2129,2869,2202,2317
"DEDD",2268,2995,2388,2381
"UFC1",2977,4275,3046,3122
"USP21",2083,2440,1939,1851
"PPOX",1312,1588,1525,1293
"B4GALT3",3971,5100,3871,3594
"ADAMTS4",22,13,6,6
"NDUFS2",8224,11506,7989,8177
"FCER1G",7,12,10,13
"APOA2",1,0,0,0
"TOMM40L",1179,1685,1081,1133
"MIR5187",2,5,1,4
"NR1I3",54,57,49,47
"PCP4L1",14,10,10,15
"MPZ",2,0,2,0
"SDHC",3396,5008,3070,3280
"CFAP126",118,157,135,121
"FCGR2A",44,28,38,37
"HSPA6",238,388,236,156
"FCGR3A",1,3,2,4
"FCGR3B",7,2,0,3
"FCGR2B",1,3,2,2
"RPL31P11",1,0,1,0
"FCRLA",0,0,1,1
"FCRLB",64,73,53,53
"DUSP12",718,927,804,675
"ATF6",3573,5018,3142,3619
"OLFML2B",10,12,5,17
"NOS1AP",205,280,200,177
"MIR556",2,1,1,0
"SPATA46",17,21,14,14
"C1orf226",958,1318,790,857
"SH2D1B",1,1,1,0
"UHMK1",10265,11784,8396,9666
"UAP1",2354,2921,2174,2135
"DDR2",61,78,41,54
"HSD17B7",504,795,572,524
"RGS4",2,3,0,0
"RGS5",81,97,82,69
"RGS5-AS1",0,0,1,0
"NUF2",1506,2208,1893,1791
"PBX1",26565,31596,23272,23653
"PBX1-AS1",9,10,19,14
"LMX1A",0,2,0,0
"RXRG",18,28,28,25
"LRRC52-AS1",1,0,1,0
"LRRC52",2,1,6,6
"MGST3",3305,5186,4024,3833
"ALDH9A1",5619,7848,5416,5450
"TMCO1",7522,10995,8178,7830
"UCK2",4780,7000,4923,4724
"FAM78B",56,63,51,56
"FMO9P",21,62,20,33
"POGK",6618,8151,6318,6284
"TADA1",930,1239,937,930
"ILDR2",36,44,18,34
"MAEL",0,2,1,2
"GPA33",0,1,1,0
"STYXL2",1,3,0,0
"LINC01363",0,3,1,3
"POU2F1",2331,2890,2332,2324
"CD247",3,5,2,3
"CREG1",4934,6592,4525,4793
"RCSD1",2,2,1,2
"MPZL1",8246,10845,7238,7935
"ADCY10",27,20,22,26
"MPC2",1616,2528,1992,1881
"DCAF6",5365,7196,5435,4952
"GPR161",238,186,224,156
"TIPRL",3089,4086,3022,3147
"SFT2D2",391,488,369,289
"ANKRD36BP1",345,349,285,293
"TBX19",311,314,297,268
"MIR557",0,0,0,1
"XCL2",0,1,0,0
"XCL1",2,2,0,0
"DPT",2,0,0,1
"LINC00626",0,1,1,0
"LINC00970",0,0,1,0
"ATP1B1",5327,7056,4724,5151
"NME7",439,639,474,473
"BLZF1",2304,2739,2143,2325
"CCDC181",19,24,18,28
"SLC19A2",1517,1785,1426,1633
"F5",9,14,10,8
"SELP",0,2,0,0
"SELL",23,21,17,20
"SELE",1,0,0,1
"METTL18",296,386,293,238
"C1orf112",1174,1368,1137,1118
"SCYL3",1814,2447,1796,1862
"KIFAP3",1998,2702,1801,1996
"NTMT2",1,1,1,0
"GORAB",604,695,602,624
"PRRX1",2,1,2,1
"FMO3",0,0,2,1
"FMO2",0,1,0,0
"FMO1",0,0,5,2
"FMO4",361,416,345,429
"PRRC2C",24486,29606,20992,22718
"VAMP4",646,884,683,760
"METTL13",4641,6365,4201,4076
"DNM3",67,63,44,56
"DNM3-IT1",0,0,1,0
"C1orf105",1,3,0,2
"PIGC",1028,1338,1127,1092
"SUCO",5170,6520,4293,4819
"FASLG",1,0,0,0
"TNFSF18",3,0,0,0
"TNFSF4",8,11,14,12
"PRDX6-AS1",29,25,30,19
"PRDX6",12219,17137,12565,12750
"SLC9C2",1,0,0,0
"ANKRD45",4,3,7,6
"KLHL20",1111,1374,928,1099
"CENPL",795,1100,837,838
"DARS2",5324,7330,4818,5252
"GAS5",3023,3784,3509,3282
"ZBTB37",163,183,156,151
"SERPINC1",22,31,30,30
"RC3H1",2816,3465,2553,2767
"RABGAP1L-DT",4,4,10,1
"RABGAP1L",1195,1543,1158,1145
"GPR52",2,7,3,5
"RABGAP1L-AS1",0,1,0,1
"CACYBP",6416,9161,7437,6824
"MRPS14",1195,1627,1267,1229
"TNN",3,2,6,2
"KIAA0040",3306,4650,3062,3357
"TNR",0,0,3,0
"LINC01657",1,2,0,2
"COP1",3903,5166,3853,3856
"SCARNA3",0,3,4,1
"PAPPA2",11,4,6,7
"BRINP2",8,2,3,4
"CRYZL2P",3,0,0,1
"RASAL2-AS1",4,8,4,4
"RASAL2",1337,1490,1128,1170
"CLEC20A",5,6,7,4
"TEX35",0,0,0,1
"C1orf220",75,63,77,67
"MIR4424",0,1,0,0
"RALGPS2",3351,3616,3107,3022
"ANGPTL1",19,23,22,26
"FAM20B",6890,8610,6101,6469
"TOR3A",4228,5609,3902,3888
"ABL2",2615,3233,2323,2374
"SOAT1",975,1275,809,904
"AXDND1",4,9,11,13
"NPHS2",0,3,0,1
"TDRD5",551,676,613,602
"FAM163A",21,28,30,31
"TOR1AIP2",6478,8438,6425,6420
"TOR1AIP1",3204,4202,2898,3130
"CEP350",4865,5484,3926,4026
"QSOX1",8272,10374,6997,6266
"LHX4",258,310,243,262
"ACBD6",2446,3073,2848,2366
"OVAAL",0,0,0,1
"XPR1",2003,2580,1760,1884
"KIAA1614",94,78,86,72
"STX6",3944,5121,3741,3776
"MR1",564,638,422,490
"IER5",3460,4878,4091,2836
"LINC01732",4,6,5,1
"CACNA1E",3,5,1,2
"ZNF648",4,8,4,8
"GLUL",14906,21250,14892,14835
"TEDDM1",8,10,3,5
"LINC00272",2,3,0,3
"RGSL1",1,2,1,0
"RNASEL",1834,2408,1439,1725
"RGS16",1992,3382,1792,1313
"LINC01686",10,5,8,2
"RGS8",6,5,5,4
"NPL",231,312,215,210
"DHX9",14494,18734,13018,13570
"SHCBP1L",0,0,1,1
"LAMC1",6665,8307,5886,5817
"LAMC2",579,910,416,509
"NMNAT2",592,692,486,485
"SMG7",11754,14806,10461,10488
"NCF2",26,23,14,27
"ARPC5",5691,7550,5664,5702
"RGL1",73,91,56,65
"APOBEC4",1,0,2,0
"COLGALT2",25,22,25,21
"TSEN15",1591,2109,1583,1630
"C1orf21",697,888,703,619
"EDEM3",3299,3986,2685,3020
"NIBAN1",429,666,397,539
"RNF2",619,802,676,636
