"","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
"FOXO6",371,470,403,297
"EDN2",158,261,204,162
"HIVEP3",811,843,819,671
"GUCA2B",1,0,0,1
"GUCA2A",0,2,0,0
"FOXJ3",4574,5351,4096,4416
"RIMKLA",749,1048,731,757
"ZMYND12",51,57,51,53
"PPCS",3129,4077,3546,3171
"CCDC30",107,122,127,95
"PPIH",1409,1994,1572,1638
"YBX1",14209,21160,16986,14454
"CLDN19",1,1,0,1
"P3H1",574,817,654,578
"C1orf50",290,416,333,284
"TMEM269",29,44,26,21
"SVBP",203,256,261,192
"ERMAP",647,941,652,673
"ZNF691",424,559,439,486
"SLC2A1",12333,16654,11976,10883
"SLC2A1-DT",44,55,48,52
"FAM183A",21,28,21,36
"EBNA1BP2",3021,4130,3271,2837
"MIR6733",4,6,2,0
"CFAP57",19,27,22,15
"TMEM125",1038,1320,1080,883
"C1orf210",335,500,358,337
"TIE1",0,1,0,0
"MPL",9,8,6,11
"CDC20",3081,4266,3503,3143
"ELOVL1",7697,10971,7406,7608
"MIR6734",1,3,0,3
"MED8",1076,1481,1181,1108
"SZT2",2842,3198,2755,2603
"MIR6735",0,1,2,2
"HYI",15,32,23,20
"PTPRF",30988,36016,28774,24319
"KDM4A",2622,3483,2373,2481
"ST3GAL3",229,312,246,234
"ARTN",237,316,344,208
"IPO13",2217,3102,2175,2115
"DPH2",2302,2959,2280,2164
"ATP6V0B",9166,12778,11069,8837
"B4GALT2",3285,4098,3483,3097
"CCDC24",1552,1998,1939,1421
"SLC6A9",492,602,556,436
"KLF18",1,1,0,0
"DMAP1",2269,2999,2626,2077
"ERI3",3792,5008,3770,3653
"ERI3-IT1",48,67,53,54
"RNF220",3198,4176,3375,3106
"TMEM53",326,456,370,276
"ARMH1",188,224,212,180
"RNU5F-1",3,4,5,2
"KIF2C",5380,7509,5839,5402
"RPS8",23604,35906,32080,24842
"SNORD55",6,5,7,3
"SNORD46",31,34,30,43
"SNORD38A",64,80,79,67
"SNORD38B",20,41,23,32
"BEST4",8,8,9,10
"PLK3",427,569,443,344
"DYNLT4",4,16,11,6
"BTBD19",28,26,23,13
"PTCH2",31,43,35,23
"EIF2B3",968,1430,950,964
"HECTD3",5630,7695,5429,5690
"UROD",2246,3569,2475,2561
"ZSWIM5",510,600,429,483
"LINC01144",15,14,15,17
"HPDL",23,28,31,16
"MUTYH",1033,1273,1263,1102
"TOE1",532,715,581,503
"TESK2",333,392,352,360
"CCDC163",73,109,105,110
"MMACHC",351,429,345,343
"PRDX1",34158,49292,37166,36094
"AKR1A1",5334,7878,5757,5369
"NASP",5508,7026,6340,5571
"CCDC17",60,70,62,78
"GPBP1L1",4244,5427,4010,4160
"TMEM69",941,1257,1012,965
"IPP",624,786,545,620
"MAST2",8103,9800,8664,7823
"PIK3R3",9207,11814,8184,8274
"TSPAN1",15878,23955,14586,15582
"POMGNT1",5730,7764,5488,5271
"LURAP1",1,5,1,4
"RAD54L",1631,2015,1686,1582
"LRRC41",3509,4541,3233,3124
"UQCRH",5416,8170,6209,6291
"NSUN4",1283,1626,1189,1166
"FAAH",2092,2638,2301,1883
"LINC01398",0,3,0,1
"DMBX1",445,651,548,449
"MKNK1-AS1",531,585,602,582
"KNCN",85,54,54,79
"MKNK1",1963,2598,2075,2079
"MOB3C",407,480,394,350
"ATPAF1",2842,3804,2873,2765
"TEX38",3,4,0,5
"EFCAB14-AS1",19,10,11,9
"EFCAB14",6321,8302,5666,5945
"CYP4B1",1677,4622,1840,2884
"CYP4Z2P",542,680,581,646
"CYP4A11",1,2,0,1
"CYP4X1",19,20,26,14
"CYP4Z1",34,176,22,152
"CYP4A22",1,7,0,5
"LINC00853",15,27,17,18
"PDZK1IP1",0,5,8,3
"TAL1",0,1,7,1
"STIL",1851,2239,1991,1899
"CMPK1",4083,5081,3739,4045
"FOXE3",6,6,3,5
"FOXD2-AS1",73,87,90,82
"FOXD2",263,292,272,223
"TRABD2B",6,3,6,4
"SLC5A9",1109,1313,1316,1207
"SPATA6",344,466,408,364
"AGBL4",49,58,65,48
"BEND5",24,33,30,26
"AGBL4-AS1",1,0,0,1
"AGBL4-IT1",2,0,0,0
"ELAVL4",1,1,3,2
"DMRTA2",5,0,1,4
"FAF1",2899,4073,2924,2786
"CDKN2C",984,1261,1124,832
"RNF11",2521,3287,2267,2544
"TTC39A",12706,20401,13539,14837
"EPS15",3168,4133,3071,3151
"OSBPL9",3170,4716,3009,3736
"NRDC",11459,15102,11267,11523
"RAB3B",111,150,104,136
"TXNDC12",2126,2938,2482,2388
"TXNDC12-AS1",2,5,3,3
"BTF3L4",2267,3016,2172,2305
"ZFYVE9",735,975,678,638
"CC2D1B",3331,4260,3243,3128
"ORC1",667,805,648,572
"PRPF38A",1497,1799,1433,1398
"TUT4",920,1143,992,1016
"GPX7",18,22,19,19
"COA7",597,785,523,569
"ZYG11B",1399,1624,1241,1385
"ZYG11A",324,478,409,393
"ECHDC2",2781,3313,2768,2722
"SCP2",4411,6352,4669,4767
"CPT2",2644,3746,2499,2558
"CZIB",751,956,801,759
"MAGOH",813,1273,1092,1007
"MAGOH-DT",39,56,30,27
"LRP8",3977,4767,3680,3772
"DMRTB1",0,1,0,0
"GLIS1",1,2,1,1
"NDC1",2589,3149,2409,2548
"YIPF1",2351,3332,2292,2462
"DIO1",20,42,21,45
"HSPB11",682,988,899,779
"LRRC42",1056,1504,980,968
"LDLRAD1",131,204,126,129
"TMEM59",9668,12832,9868,9143
"TCEANC2",693,996,705,670
"CDCP2",1,1,0,0
"CYB5RL",285,298,275,263
"MRPL37",5344,7482,5482,5193
"SSBP3",1702,2267,1896,1671
"SSBP3-AS1",71,77,89,81
"ACOT11",40,60,54,44
"FAM151A",3,2,1,2
"MROH7",0,2,0,0
"TTC4",18,14,12,12
"PARS2",477,674,486,556
"TTC22",64,95,66,57
"LEXM",4,9,6,14
"DHCR24",40841,61683,35966,39469
"TMEM61",25,39,40,38
"BSND",2,0,2,0
"PCSK9",5,3,1,0
"USP24",4033,4963,3700,3923
"PLPP3",126,170,108,97
"PRKAA2",61,85,53,70
"FYB2",1,8,6,5
"C8B",0,1,0,0
"DAB1",2,1,0,1
"OMA1",801,1132,905,892
"TACSTD2",9367,12493,10905,9461
"MYSM1",2539,2971,2480,2633
"JUN",5631,6805,8135,5073
"FGGY",178,259,154,197
"HOOK1",1596,1977,1434,1568
"CYP2J2",1166,1604,1254,1310
"NFIA",1279,1753,1130,1293
"NFIA-AS1",2,2,1,4
"TM2D1",640,831,641,555
"PATJ",5874,6666,5294,5043
"L1TD1",1,0,0,0
"KANK4",1,0,1,1
"USP1",2033,2395,2000,1926
"DOCK7",2065,2642,1736,1781
"ANGPTL3",4,4,2,2
"ATG4C",267,363,263,246
"FOXD3-AS1",30,49,74,25
"FOXD3",5,7,5,2
"ALG6",907,1092,813,962
"ITGB3BP",464,596,541,566
"EFCAB7",233,326,238,265
"PGM1",2074,2926,1881,1918
"ROR1",3,11,4,6
"CACHD1",225,272,185,198
"RAVER2",1191,1525,1156,1195
"JAK1",6222,8224,5253,5823
"MIR3671",0,1,0,0
"AK4",2871,3685,2703,2703
"DNAJC6",825,1121,647,779
"LEPROT",2070,2679,2080,2032
"LEPR",275,370,232,311
"PDE4B",286,332,238,270
"SGIP1",1,0,0,2
"INSL5",1,0,3,4
"DNAI4",159,212,185,185
"MIER1",788,999,717,807
"SLC35D1",847,1049,751,891
"IL23R",1,1,1,1
"IL12RB2",31,31,36,40
"SERBP1",7220,8955,7782,6656
"GADD45A",208,265,194,173
"GNG12",1438,1859,1273,1220
"GNG12-AS1",6,7,12,11
"DIRAS3",8,7,15,9
"WLS",768,856,718,733
"DEPDC1",991,1328,978,1069
"DEPDC1-AS1",6,2,4,3
"LRRC7",76,85,70,68
"LRRC40",556,735,568,629
"SRSF11",9172,10727,9705,9917
