"","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2"
"TMEM248",7277,6312,6333,7943,4646,6303,5798,5896
"SBDS",5096,5068,4592,7112,3214,5077,4394,3328
"TYW1",1874,1842,1424,2207,956,1505,1478,1473
"PMS2P4",296,236,170,284,141,181,217,237
"CT66",6,6,11,11,11,3,8,6
"AUTS2",1210,1019,920,1225,706,928,912,1082
"GALNT17",0,0,0,0,0,0,0,1
"CALN1",0,0,0,0,0,0,1,0
"TYW1B",207,185,134,236,93,125,172,110
"POM121",4556,4067,2698,4216,2277,2854,2914,4101
"NSUN5P2",2,8,3,8,2,2,4,8
"TRIM74",2,1,1,1,0,3,1,1
"SPDYE8",1,1,0,3,0,0,0,0
"SPDYE11",2,1,0,2,0,0,0,0
"GTF2IP4",483,449,623,459,175,585,428,467
"NCF1B",0,0,1,1,0,0,0,0
"NSUN5",5006,4193,3589,6032,3969,5042,2582,3541
"TRIM50",4,3,2,6,2,2,0,4
"FKBP6",0,1,0,1,0,0,0,0
"FZD9",83,84,54,153,101,122,42,62
"BAZ1B",18214,16329,12204,19257,9095,11911,14407,13958
"BCL7B",8119,6717,5337,9393,5642,6797,5222,5563
"TBL2",5285,5151,4293,5920,3510,5233,4380,4456
"MLXIPL",1060,883,844,1094,763,914,575,767
"VPS37D",344,244,254,456,272,319,166,208
"DNAJC30",2294,1881,2025,2746,1890,2378,1794,2040
"BUD23",9666,8262,7009,10048,7861,9327,6604,7742
"STX1A",1094,959,995,1309,915,1206,736,1054
"MIR4284",2,3,5,6,2,2,4,3
"ABHD11",12197,10325,9017,14158,9450,10893,8084,9357
"CLDN3",7404,5343,6931,13439,7046,12071,3131,4263
"CLDN4",34512,23488,18426,44268,21341,28843,15531,20210
"METTL27",252,156,214,312,192,236,126,144
"TMEM270",135,82,95,140,79,127,61,69
"ELN",0,1,2,2,1,5,3,6
"LIMK1",4483,4244,3146,5150,3116,4308,2707,3732
"EIF4H",26364,24265,20450,29801,15340,22426,18835,21084
"MIR590",31,27,16,26,8,20,20,20
"LAT2",82,44,54,88,58,83,53,60
"RFC2",7794,6649,5173,8522,5573,7491,5314,5393
"CLIP2",343,295,182,362,222,276,130,210
"GTF2IRD1",5167,5092,3603,5678,3316,4593,3573,4782
"GTF2I",4350,4479,3308,4166,1370,2686,4068,4188
"GTF2I-AS1",8,8,9,4,0,8,7,2
"NCF1",2,0,0,2,2,3,1,1
"GTF2IRD2",144,110,108,138,76,74,115,141
"CASTOR2",1799,1605,1522,1643,1398,1619,1535,1898
"RCC1L",7058,5964,4903,8276,5009,6332,4771,6069
"GTF2IRD2B",267,227,296,307,129,193,216,255
"NCF1C",0,1,2,2,1,0,0,1
"TRIM73",2,4,2,2,0,1,1,5
"NSUN5P1",1627,1405,1465,1905,1279,1502,992,1319
"POM121C",5774,5188,3670,5493,2919,4033,3708,5210
"SPDYE5",60,48,30,42,23,37,19,31
"PMS2P3",237,276,151,288,126,133,175,226
"HIP1",4086,3260,1991,3648,1517,2271,2327,2727
"CCL26",2,0,0,1,1,3,1,4
"CCL24",1,0,0,0,0,0,0,0
"RHBDD2",7869,6746,5648,8793,5613,7299,5287,6422
"POR",7402,6540,5237,8739,4669,6879,4450,6437
"MIR4651",0,0,0,1,0,0,0,0
"SNORA14A",2,1,2,2,0,0,1,0
"TMEM120A",2810,2462,2145,3167,2110,2704,1688,2209
"STYXL1",4206,3151,3334,4671,3095,3385,3185,3422
"MDH2",35666,33428,27352,38617,26459,33074,27346,34605
"SRRM3",685,461,423,665,495,485,343,493
"HSPB1",78438,50623,56732,108073,72972,80814,32058,41643
"YWHAG",24656,24588,23247,27885,13804,21835,20174,21792
"SSC4D",134,118,103,146,92,130,100,104
"ZP3",1497,1221,1128,1561,1035,1279,1015,1176
"DTX2",302,270,213,413,153,306,122,197
"UPK3B",2,5,1,6,1,6,4,1
"SPDYE16",2,0,0,1,0,2,0,1
"POMZP3",0,2,1,0,1,0,6,0
"DTX2P1-UPK3BP1-PMS2P11",93,58,73,94,52,50,48,78
"SPDYE9",1,1,0,2,0,0,0,0
"SPDYE17",1,1,0,2,0,0,0,0
"SPDYE10",1,1,0,2,0,0,0,0
"SPDYE18",22,15,10,28,5,12,18,21
"CCDC146",94,76,98,91,46,55,78,74
"FGL2",2,5,6,8,1,1,0,2
"GSAP",512,528,598,657,265,497,479,426
"PTPN12",4485,3893,4334,5483,2236,3913,3972,3611
"APTR",510,378,462,618,317,454,367,391
"RSBN1L",1535,1458,1598,1719,741,1237,1347,1240
"TMEM60",1457,1570,1982,1681,985,1828,1352,1168
"PHTF2",2362,2490,2250,2619,1189,1941,2001,1882
"MAGI2",137,182,197,177,103,165,143,153
"MAGI2-AS3",1,0,0,1,0,0,0,0
"GNAI1",115,120,109,141,47,101,71,110
"CD36",2,5,10,4,2,5,11,3
"SEMA3C",30021,32334,23182,32347,10895,19112,24899,25356
"HGF",0,0,1,0,0,0,0,0
"PCLO",1799,1639,1263,1600,574,920,1382,1417
"SEMA3E",13,8,10,22,6,7,13,6
"SEMA3A",2,4,1,4,6,0,3,3
"LINC03017",0,0,2,0,0,0,0,0
"SEMA3D",11,3,6,12,2,5,8,8
"GRM3",36,11,14,22,13,17,16,16
"ELAPOR2",3149,2877,2659,3571,1300,2331,2602,2549
"DMTF1-AS1",52,45,47,48,42,49,45,44
"DMTF1",6844,6316,7070,7858,2793,5397,5882,5510
"TMEM243",1376,1250,1780,1614,1010,1560,1060,1073
"CROT",1347,1519,2145,1384,762,1309,1798,1606
"ABCB4",202,158,218,224,69,118,180,181
"ABCB1",1,1,0,3,2,0,1,1
"RUNDC3B",159,81,136,182,57,68,107,108
"SLC25A40",1766,1812,2171,1989,830,1613,1569,1645
"DBF4",3169,3361,4023,3895,2054,3427,2672,2549
"ADAM22",624,595,565,783,261,461,499,540
"SRI",3282,2607,2856,3560,2110,3086,2685,2400
"SRI-AS1",7,3,4,5,1,0,6,5
"STEAP4",21,23,13,26,9,13,40,39
"ZNF804B",0,1,1,2,0,0,0,1
"STEAP1",6,10,4,12,10,7,2,4
"STEAP2",0,0,0,0,0,0,1,0
"CFAP69",49,55,64,79,17,35,30,37
"GTPBP10",2197,2170,2545,2634,1395,2318,1947,1889
"CLDN12",1775,1631,1647,1782,708,1318,1206,1359
"PTTG1IP2",0,2,0,0,0,0,0,0
"CDK14",62,58,50,55,24,39,50,32
"FZD1",929,914,658,1011,554,812,695,789
"MTERF1",941,912,1126,1078,560,871,828,741
"AKAP9",8352,7593,7036,9737,3174,5207,7028,5824
"CYP51A1",11620,10697,9717,12272,6734,9939,8516,8073
"CYP51A1-AS1",16,12,11,21,5,17,14,8
"LRRD1",2,1,0,1,0,3,1,1
"KRIT1",3276,2854,3455,3917,1356,2678,2736,2424
"MIR1285-1",13,20,9,17,5,21,14,13
"ANKIB1",10812,10059,8637,11979,4338,7031,9330,9171
"TMBIM7P",2,4,1,7,1,2,6,4
"GATAD1",5388,5254,5042,5792,3129,4699,4712,4621
"ERVW-1",10,3,5,6,2,3,10,16
"PEX1",4022,4079,3900,4780,1980,3200,3401,3373
"RBM48",1399,1208,1448,1708,914,1274,1212,1061
"FAM133B",1070,946,951,1369,501,893,683,584
"CDK6",211,93,143,227,57,78,132,146
"SAMD9",2992,2644,2131,3215,1193,1848,1592,1712
"SAMD9L",411,310,163,428,134,196,153,173
"HEPACAM2",1,1,4,2,0,2,3,2
