"","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2"
"HIGD1B",25,24,24,21,25,19,29,27
"EFTUD2",18666,16645,12048,18300,11164,13815,14519,17738
"CCDC103",561,344,392,579,238,300,377,436
"GFAP",19,12,10,14,7,6,11,11
"KIF18B",3638,3087,2341,3791,2310,2916,2002,2647
"MIR6783",8,4,4,3,2,3,1,1
"C1QL1",340,284,206,379,158,226,154,232
"DCAKD",2642,2288,1973,3049,1717,2137,1965,2454
"NMT1",13825,12997,8981,14066,8787,10991,10554,12801
"PLCD3",6710,7180,5455,7274,5463,7091,5009,6567
"MIR6784",7,13,7,2,5,9,7,21
"ACBD4",951,803,763,1128,695,879,591,804
"HEXIM1",7150,5637,7894,8174,4923,6717,6650,7364
"HEXIM2",1003,748,784,1260,758,854,575,812
"FMNL1",2010,1858,1529,2342,1164,1720,1319,1873
"SPATA32",16,8,4,8,6,13,5,15
"MAP3K14",2071,1409,916,2493,1125,1227,888,1114
"ARHGAP27",12,7,20,43,5,21,4,9
"PLEKHM1",6,2,1,4,2,1,2,3
"LINC02210",0,1,2,2,1,0,0,0
"MAPT",3,33,1,1,1,0,1,26
"KANSL1",2,2,0,0,0,0,0,0
"KANSL1-AS1",0,0,0,2,0,0,0,0
"LRRC37A",2,1,0,1,2,3,1,4
"ARL17B",2,1,3,9,1,2,28,0
"ARL17A",2,1,3,9,1,2,28,0
"LRRC37A2",4,1,1,0,2,0,2,3
"NSF",3,4,4,4,75,3,3,2
"WNT3",0,1,1,0,1,0,1,3
"WNT9B",0,0,0,1,0,0,0,0
"GOSR2",4598,4179,3488,4955,2862,3468,3704,3870
"MIR5089",0,0,1,0,0,0,0,0
"RPRML",2,0,1,3,0,5,1,3
"CDC27",4423,4547,4833,4868,2285,3869,4005,3878
"MYL4",1,4,1,2,3,3,2,1
"ITGB3",5,3,4,11,1,2,4,3
"EFCAB13-DT",12,6,12,16,6,13,14,12
"EFCAB13",136,113,174,184,59,106,107,152
"NPEPPS",22832,14817,16392,25141,8550,12647,16933,16926
"KPNB1",32285,30048,21998,36978,17478,24672,24771,23975
"TBKBP1",293,192,177,284,157,208,127,190
"TBX21",0,0,0,1,0,1,0,0
"OSBPL7",3736,2806,2405,4160,2164,2529,1992,2897
"MRPL10",6449,5508,4573,6736,3869,5303,5034,5639
"LRRC46",378,276,267,423,208,275,258,326
"SCRN2",4331,3389,3659,5670,3420,4048,2549,3459
"SP6",2080,1877,1357,2217,1780,2235,1544,2100
"SP2-DT",365,283,333,454,261,344,348,344
"SP2",3944,3412,2630,4217,2126,2840,2428,3158
"PNPO",5529,5298,4437,5971,4066,5053,5136,5672
"PRR15L",2992,3512,2969,3213,3023,3913,3114,3758
"CDK5RAP3",16826,13687,14008,19020,11892,13872,12436,13939
"COPZ2",403,313,270,391,329,380,332,329
"MIR152",0,1,0,0,0,0,0,0
"NFE2L1",17106,15140,11583,18232,9741,13241,12882,16488
"CBX1",11144,9310,9112,12323,6050,9584,9119,9036
"SNX11",2322,1791,1613,2446,1335,1581,1843,1983
"SKAP1",7,11,6,3,2,2,2,6
"HOXB2",16,17,18,22,15,15,10,12
"HOXB-AS1",3,2,0,2,0,3,1,5
"HOXB3",32,40,17,31,11,9,11,21
"HOXB4",3,0,1,3,1,3,1,0
"HOXB-AS3",0,0,0,0,0,1,0,0
"HOXB5",0,1,0,1,1,2,2,0
"HOXB6",10,9,17,16,11,9,6,4
"HOXB7",634,541,652,790,508,658,459,518
"HOXB8",7,8,2,3,1,2,5,0
"HOXB9",95,89,71,106,53,95,64,81
"PRAC2",1,0,0,0,0,0,0,0
"HOXB13",28,36,23,44,24,17,21,26
"TTLL6",33,12,16,23,7,16,16,18
"CALCOCO2",6190,5600,4874,7163,3475,5022,5361,5105
"ATP5MC1",8213,7336,6654,9174,7224,8421,6704,6708
"UBE2Z",18171,14802,12500,18470,10269,12812,14188,15970
"SNF8",5901,4186,3942,6103,4861,4734,4316,4308
"GIP",0,0,0,0,0,0,0,1
"IGF2BP1",193,202,167,190,138,155,165,180
"B4GALNT2",203,289,131,233,166,236,214,252
"GNGT2",0,1,1,1,3,0,1,0
"ABI3",7,2,4,2,4,1,7,3
"PHOSPHO1",49,63,32,46,37,54,32,58
"MIR6129",2,0,0,1,1,0,1,0
"ZNF652",4826,4654,5159,4868,3757,4792,4923,4680
"PHB1",24587,21106,17695,29019,19805,23236,17112,19926
"LINC02075",0,1,0,0,0,0,0,0
"NGFR",407,299,203,310,153,178,148,225
"NGFR-AS1",4,7,4,0,0,4,0,5
"MIR6165",0,0,0,0,0,1,0,0
"NXPH3",737,444,416,779,294,502,361,473
"SPOP",3028,2251,2596,3755,1787,2251,2650,2405
"SLC35B1",5647,5232,4492,6530,4441,5777,4862,4664
"FAM117A",1822,1598,1421,1951,934,1439,1332,1525
"KAT7",5949,5202,3993,6333,2719,3967,4744,4928
"TAC4",7,7,6,6,3,6,12,2
"DLX4",405,347,321,425,210,323,317,333
"DLX3",529,454,382,411,288,366,390,410
"PICART1",19,12,25,17,2,8,8,24
"ITGA3",14247,11155,8687,14339,7333,9377,8655,12999
"PDK2",3236,2639,2067,3609,1877,2473,2114,2763
"SAMD14",14,10,10,12,5,10,4,8
"PPP1R9B",13242,10607,9013,13963,7772,9849,8636,11400
"SGCA",0,1,3,1,2,1,0,0
"COL1A1",3607,1823,1796,4346,1507,1799,1480,1852
"TMEM92",37,17,16,35,10,13,17,28
"TMEM92-AS1",0,0,0,1,0,0,2,0
"XYLT2",5524,4159,3864,6432,3449,4492,3134,4379
"MRPL27",6060,4710,4092,7006,5223,5569,4076,4228
"EME1",1261,1156,890,1435,697,1107,1027,1008
"LRRC59",18062,17194,13008,20779,10950,16566,13515,14808
"ACSF2",4177,5774,4780,4725,4762,5278,5092,5774
"CHAD",67,91,64,78,42,61,66,83
"RSAD1",5615,5150,4896,6342,4180,5211,4789,5487
"MYCBPAP",6,10,9,20,4,11,8,11
"EPN3",5980,5480,4974,7180,4493,6079,3796,5442
"SPATA20",13203,11940,10125,15641,8817,11265,8077,11658
"CACNA1G-AS1",17,14,13,17,15,11,4,14
"CACNA1G",12,16,8,16,5,16,15,12
"ABCC3",6073,5900,4444,6701,4087,4682,4690,6447
"ANKRD40",5229,5130,4282,5784,3064,4270,4572,4634
"LUC7L3",6048,5274,5724,8100,4032,5208,4920,4535
"WFIKKN2",0,6,5,1,2,6,0,1
"TOB1",12334,12111,10184,14489,6943,10026,11275,9218
"TOB1-AS1",108,89,116,144,98,107,98,137
"SPAG9",5163,4810,4008,5598,2163,3539,4119,4394
"NME1",4169,3570,3215,4769,4007,4324,3087,2794
"NME2",52,43,73,84,66,71,46,53
"MBTD1",2247,2111,2077,2255,874,1497,1933,1999
"UTP18",2973,2772,2662,3610,1954,3002,2279,2099
"LINC02071",0,0,0,0,1,0,0,0
"LINC02073",1,1,0,4,0,3,0,1
"CA10",0,0,1,0,0,0,0,0
"TOM1L1",1620,1470,1218,1975,774,1307,1267,1215
"COX11",1110,1175,1493,1466,788,1327,947,980
"STXBP4",288,294,254,349,143,203,224,220
"HLF",145,99,122,141,63,62,128,132
"MMD",857,553,683,973,480,573,677,573
"TMEM100",0,0,0,0,1,0,1,0
"PCTP",584,553,527,656,315,478,490,539
"ANKFN1",2,2,0,2,3,0,1,3
"NOG",1,5,1,2,12,11,0,2
"C17orf67",99,99,98,117,77,84,61,71
"DGKE",1157,1210,1094,1193,729,1079,1104,938
"TRIM25",13900,14000,11111,12761,7975,11037,12063,14480
"COIL",2254,2039,1984,2534,1207,1767,1838,1776
"SCPEP1",3853,4275,3110,4241,2837,3747,3617,3708
"AKAP1",9536,10245,7448,10002,6286,8596,7409,8931
"MSI2",6726,7342,6503,7850,4746,6450,5967,5959
"CCDC182",0,0,1,0,0,0,0,1
"MRPS23",4461,4236,3873,5448,3564,4648,3769,3709
"CUEDC1",1114,859,660,1243,799,847,595,905
"VEZF1",3540,2431,2387,3615,1574,2099,2278,2598
"SRSF1",18471,17766,16358,21570,11515,16907,14240,14548
"DYNLL2-DT",0,3,1,3,1,1,0,1
"DYNLL2",9655,8017,7337,9941,5465,7349,7581,8639
"OR4D1",0,0,0,1,0,0,0,1
"EPX",31,33,17,19,17,17,22,38
"MKS1",1945,1593,1444,2087,1247,1435,1475,1657
"LPO",2,1,2,3,0,1,0,2
"MPO",0,0,1,1,0,0,0,0
"TSPOAP1",12,5,12,13,4,6,4,10
"TSPOAP1-AS1",30,19,29,36,18,11,19,28
"SUPT4H1",3476,3149,3604,4247,2382,3354,3196,3042
"RNF43",4485,3157,2751,4746,2219,2624,2764,3392
"HSF5",0,0,3,3,0,0,1,0
"MTMR4",9552,10680,6847,9744,4702,7461,8033,9119
"SEPTIN4-AS1",18,12,12,25,7,19,13,21
"SEPTIN4",82,71,70,97,40,57,74,101
"TEX14",2338,1265,3238,2568,625,955,3672,3623
"RAD51C",10406,8121,8456,12575,6549,9470,8052,7385
"PPM1E",713,643,597,696,317,507,575,611
"TRIM37",44646,42260,40176,51033,21871,33899,41100,38887
"SKA2",7149,7090,8902,8493,4541,7289,7273,6451
"PRR11",6539,5713,5451,6643,3644,5026,5756,5638
"SMG8",5341,5010,4099,5512,2749,3995,4394,4833
"GDPD1",32,31,32,39,11,35,35,25
"YPEL2",1687,1689,1157,1822,658,1120,1297,1378
"DHX40",7399,5877,6484,8081,3247,5440,5894,5467
"CLTC",79307,76655,63619,83176,35496,59497,66215,67493
"PTRH2",4238,3547,3591,5180,3301,4434,3460,3056
"VMP1",48572,40129,36402,67105,25625,35143,32794,27803
"MIR21",149,207,220,238,147,136,141,107
"TUBD1",3144,2998,3180,3718,2008,3099,2449,2483
"RPS6KB1",27905,29491,29241,31614,14318,23946,26117,26459
"RNFT1",1157,1127,1159,1250,619,1034,878,953
"RNFT1-DT",223,154,241,304,221,223,217,224
"TBC1D3P1-DHX40P1",2,3,2,4,1,2,6,2
"MIR4737",138,92,90,116,70,93,65,118
"HEATR6",16253,15504,12195,16999,8042,12067,13399,13645
"CA4",124,93,72,115,86,98,99,137
"USP32",35533,30544,24692,37700,15380,21001,28239,29919
"SCARNA20",6,4,7,12,11,4,3,7
"CHCT1",10,4,9,10,6,2,4,3
"APPBP2",20132,17889,20599,22379,9140,15249,16772,16883
"LINC01999",1,2,0,4,1,4,7,3
"PPM1D",10493,8705,8181,12125,5125,7244,8353,8400
"BCAS3",24837,18035,19877,29193,16229,19031,18995,20928
"TBX2-AS1",1788,1322,1485,1898,1518,1541,1468,1640
"TBX2",11631,10701,10161,13248,7999,11549,8015,11407
"LINC02875",88,85,64,114,54,110,59,103
"TBX4",82,98,79,79,61,59,71,74
"NACA2",148,145,182,186,98,171,151,115
"BRIP1",16070,16284,14562,17654,7356,12624,12876,11484
"INTS2",3865,3695,3383,3985,1539,2549,3214,3276
"MED13",15891,14602,12045,16126,5506,9357,12126,12691
"EFCAB3",34,44,36,35,25,30,25,24
"METTL2A",2411,2246,1789,2580,1898,1955,1759,1680
"TLK2",8678,7540,6470,9801,4616,6491,6615,6388
"MRC2",177,139,78,176,86,115,68,100
"MARCHF10",177,148,287,216,174,173,280,279
"TANC2",18870,16774,12713,17728,7251,10431,14477,16711
"CYB561",25897,24598,20293,28644,17849,24342,20152,22629
"ACE",133,162,98,137,69,108,77,106
"KCNH6",15,11,3,9,4,3,1,9
"DCAF7",16710,14997,13009,16749,8131,11258,13995,16157
"TACO1",5045,4723,4132,5655,4310,4762,4565,4666
"MAP3K3",4270,3835,2797,4766,2179,3037,2741,3540
"LIMD2",318,192,199,320,169,217,116,175
"STRADA",4297,3460,2730,4501,2682,3045,2711,2947
"CCDC47",24332,23089,21035,28040,12644,20131,21889,19748
"DDX42",18973,17360,15051,20552,10547,14373,16775,17214
"FTSJ3",17758,14818,11141,18062,11881,13910,13470,15830
"PSMC5",25349,21974,19829,28061,20232,23753,21538,21328
"SMARCD2",37924,38440,29627,39481,27694,33525,31169,37459
"TCAM1P",0,3,4,2,0,5,2,2
"CSH2",0,0,0,0,0,0,1,0
"CSH1",2,0,0,0,0,2,0,0
"GH1",1,0,1,0,0,0,2,0
"CD79B",0,1,0,0,0,0,0,1
"SCN4A",19,18,14,38,9,32,9,20
"PRR29-AS1",3,0,0,0,0,2,0,0
"PRR29",55,29,27,62,28,29,26,34
"ICAM2",3,4,0,1,0,3,1,2
"ERN1",524,489,265,513,199,286,268,445
"SNORA50C",98,58,69,124,71,86,24,31
"TEX2",7605,7968,5721,8184,4016,6046,6321,6795
"PECAM1",1,0,2,2,0,1,1,0
"MILR1",3,1,2,3,0,5,2,5
"POLG2",1219,1135,1167,1375,705,1080,1003,1035
"DDX5",77140,71241,66370,94075,39141,66338,66727,59088
"MIR3064",139,181,343,162,81,192,141,150
"MIR5047",2320,2280,1988,2616,1061,1903,2170,1906
"CEP95",4426,3647,3595,5235,2746,3519,3455,2993
"SMURF2",2188,2082,1988,2342,1052,1691,1890,1829
"LRRC37A3",661,546,701,693,404,516,642,608
"AMZ2P1",572,477,559,634,311,477,469,442
"GNA13",6481,6934,6300,6810,2808,5120,5106,5576
"RGS9",14,7,6,20,10,14,10,12
"AXIN2",841,436,216,1470,396,401,276,204
"CEP112",26,11,5,19,7,17,17,8
"PRKCA",226,204,137,211,127,190,190,254
"CACNG5",14,4,12,9,6,2,12,10
"CACNG4",2670,1502,1298,2510,941,1218,1204,1681
"CACNG1",20,12,10,17,17,18,10,11
"HELZ",6735,6604,5125,6649,2815,4559,5532,5870
"PSMD12",5584,6055,6493,7244,3445,6768,4639,3957
"PITPNC1",2398,1710,1780,2622,1330,1843,1909,1835
"NOL11",5860,5743,5683,7249,3463,5432,4676,4300
"SNORA38B",5,4,3,4,3,3,2,6
"BPTF",12886,11838,9945,13649,5288,8020,10874,10682
"C17orf58",1584,1482,1897,1823,889,1463,1466,1477
"KPNA2",26551,23181,19823,27945,15356,21981,22085,22556
"AMZ2",4728,4662,4949,5452,3306,4740,4547,4110
"ARSG",2100,1851,1590,2244,1173,1591,1742,1901
"SLC16A6",1374,1834,1514,1452,886,1696,1354,1330
"PRKAR1A",18478,15961,15048,19666,8300,11655,15720,16527
"WIPI1",1628,1373,1207,1691,979,1222,1294,1391
"MIR635",30,31,23,38,6,34,56,24
"FAM20A",7,7,7,7,2,10,7,4
"LINC01482",0,0,0,0,0,0,1,0
"ABCA9",0,2,0,1,0,0,1,0
"ABCA9-AS1",1,0,0,1,0,1,1,0
"ABCA6",1,0,2,0,0,0,1,0
"ABCA10",6,13,8,13,2,8,7,18
"ABCA5",778,734,923,841,376,695,629,566
"MAP2K6",33,21,28,45,9,32,20,21
"LINC01152",0,0,0,0,0,0,2,0
"SOX9",176,79,52,195,55,84,59,74
"LINC00511",33,29,21,35,12,16,19,16
"SLC39A11",4944,4816,4039,5138,3596,4520,4291,4830
"SSTR2",67,61,24,56,27,70,40,46
"COG1",4936,4464,3676,4945,2676,3650,4321,4875
"FAM104A",2908,2723,3374,3788,2159,3488,2581,2662
"C17orf80",1719,1592,1422,1986,1225,1824,1713,2077
"CPSF4L",10,8,14,8,5,8,5,13
"CDC42EP4",6728,5345,4627,6927,4444,5026,4394,5851
"SDK2",230,238,146,223,132,251,136,209
"RPL38",22619,18790,19496,28166,21431,26992,14843,13683
"TTYH2",249,318,176,295,161,311,163,206
"DNAI2",0,0,1,0,0,0,0,0
"BTBD17",0,0,0,0,0,1,0,0
"GPR142",0,0,0,0,0,1,0,0
"GPRC5C",2098,1604,1431,2171,1423,1637,1136,1677
"CD300A",1,0,2,1,1,2,0,0
"CD300C",0,0,3,2,6,5,2,2
"CD300LD",1,0,6,1,2,0,8,7
"CD300LD-AS1",12,27,94,20,20,16,152,96
"RAB37",359,331,2447,405,242,301,2571,2423
"SLC9A3R1",65319,59105,47050,73964,51019,59239,42849,52134
"NAT9",2010,1378,1767,2165,1196,1396,1455,1816
"TMEM104",2244,1843,1561,2539,1325,1730,1399,1950
"GRIN2C",213,182,181,260,126,173,169,200
"FDXR",2058,1571,1665,2495,1583,1961,1229,1705
"FADS6",1,2,1,0,0,3,0,2
"USH1G",30,20,12,35,15,22,9,12
"OTOP2",0,3,0,0,2,3,0,2
"OTOP3",1,0,1,3,3,0,1,0
"HID1",23087,21770,18806,26962,15732,19917,16570,23087
"HID1-AS1",3,3,3,3,2,6,3,7
"CDR2L",2256,1966,1801,2482,1560,2035,1681,2346
"MRPL58",3409,3138,3017,4089,2697,3155,2896,2877
"KCTD2",4173,3518,2939,4172,2552,2922,3494,4044
"ATP5PD",8918,8523,9275,12097,6700,10313,8295,7568
"SLC16A5",4455,5212,3951,4819,3579,4940,3890,4532
"ARMC7",2147,2160,1665,2325,2011,2371,1704,1967
"NT5C",2032,1711,1783,2783,1718,2082,1235,1624
"JPT1",11903,9817,10291,14916,11143,12943,8481,9467
"SUMO2",7109,6106,6303,8271,5061,6401,5520,5404
"NUP85",7599,6357,5292,7927,4546,5891,5335,6130
"GGA3",5189,4694,3753,5533,2764,4099,3889,4601
"MRPS7",8727,7602,6478,10213,6456,7739,6313,6971
"MIF4GD",3905,3311,2948,4114,2529,2982,2977,3407
"MIF4GD-DT",436,462,343,589,285,380,328,426
"SLC25A19",931,920,663,980,600,801,592,682
"GRB2",18737,17327,14832,20357,12104,15506,15268,17741
"MIR3678",0,0,0,1,0,0,0,0
"TMEM94",9679,9223,7176,10602,5543,7779,6555,9323
"CASKIN2",4027,3683,2930,4928,2293,3998,2209,3549
"TSEN54",7444,6408,5947,8622,5371,6984,5294,6654
"LLGL2",16396,13537,12685,22757,12452,16800,7718,12111
"MYO15B",2446,1814,1977,3084,1294,1899,1080,1766
"RECQL5",5026,3742,3364,5396,3069,3544,3141,4344
"SMIM5",751,454,302,841,391,432,346,335
"SMIM6",27,15,21,29,15,11,27,20
"SAP30BP",7425,5939,5222,8807,5229,6380,5143,6012
"ITGB4",8693,7391,5235,10037,4910,7183,3932,7027
"GALK1",2325,1965,1753,2977,2336,2794,952,1520
"H3-3B",55310,48962,58579,65699,37837,55217,39158,44555
"MIR4738",1,0,4,1,0,0,0,0
"UNK",3866,3239,2836,4372,2214,3137,2388,2828
"UNC13D",731,400,380,811,259,418,286,555
"WBP2",8957,7534,6919,10050,5899,7658,5716,7364
"TRIM47",1102,1034,695,1383,955,1239,495,699
"TRIM65",3609,3909,3044,3910,2693,3772,2827,3556
"MRPL38",8535,7232,6823,10126,7544,8912,5309,7193
"FBF1",1528,1186,1110,1781,919,1478,894,1103
"ACOX1",3658,3992,4026,3854,2324,3406,3869,4101
"TEN1-CDK3",12,4,7,22,14,19,7,6
"EVPL",6358,5953,4725,7853,4832,6779,3454,5226
"SRP68",9255,7680,6101,9868,5782,6981,7191,7412
"GALR2",23,20,24,31,11,33,17,20
"ZACN",9,3,9,12,8,8,8,9
"EXOC7",13679,11914,9521,14292,7162,8946,9990,13054
"MIR6868",0,0,0,3,0,0,0,0
"FOXJ1",44,6,1,63,12,11,5,4
"RNF157",1005,926,679,1046,538,817,771,839
"UBALD2",2448,1764,1995,3075,1990,2384,1506,1808
"QRICH2",474,313,342,639,294,391,297,384
"PRPSAP1",4802,3945,3829,5462,2897,3898,4098,4191
"SPHK1",3074,2315,1785,3705,2146,2637,1371,2024
"UBE2O",9097,7928,5864,9335,4713,6316,5389,7868
"AANAT",48,51,36,38,43,35,23,57
"RHBDF2",3361,2964,2094,3707,2060,2877,1537,2495
"CYGB",36,27,29,40,24,37,18,21
"PRCD",12,4,4,9,3,6,3,9
"SNHG16",8209,6981,6376,9296,7178,7898,6355,5969
"SNORD1B",10,1,14,12,8,8,13,5
"ST6GALNAC2",879,827,667,1004,552,672,704,660
"ST6GALNAC1",1,4,1,2,1,2,0,1
"MXRA7",493,526,423,553,319,387,506,472
"JMJD6",2600,1973,1467,2981,1804,1937,1539,1710
"METTL23",2330,2025,2269,2915,1510,2295,1948,1669
"SRSF2",18918,16911,15715,21443,12330,16970,14846,15527
"MFSD11",2935,2507,2365,3246,1414,2210,2264,2380
"LINC02080",2,0,4,2,0,1,3,3
"MGAT5B",410,413,285,488,259,352,245,358
"SNHG20",865,734,654,878,621,627,592,632
"SEC14L1",2987,2121,1604,2839,1678,2356,2509,2376
"SCARNA16",17,14,6,13,14,17,10,12
"SEPTIN9",25677,23983,18875,30910,17583,22705,17154,23462
"MIR4316",0,0,0,0,0,1,0,0
"TNRC6C",2592,1996,1949,2732,1040,1399,2200,2508
"TMC6",2924,2439,2275,3908,2207,3005,1482,2154
"TMC8",72,88,68,93,60,81,65,94
"C17orf99",4,2,1,4,1,2,1,2
"SYNGR2",29764,26024,22089,32463,21175,25539,17976,25039
"TK1",15600,11152,9575,18984,11053,13904,7363,9478
"AFMID",1377,1196,1158,1549,1058,1172,1173,1233
"BIRC5",9274,7307,7056,10108,7479,7562,6619,7282
"TMEM235",0,0,3,0,2,1,0,3
"LINC01993",0,2,0,3,2,2,3,1
"SOCS3",1213,953,840,1091,516,810,653,841
"SOCS3-DT",398,266,250,406,186,266,221,265
"PGS1",2470,1968,1775,2607,1284,1719,1541,2153
"DNAH17",232,220,208,209,132,211,168,216
"SCAT1",2,1,0,3,0,0,3,3
"CYTH1",5558,4609,3716,5851,3163,4279,3650,4381
"USP36",9273,6984,5121,10958,4712,5731,5269,6256
"TIMP2",3803,2696,2174,3414,1713,1908,2251,2975
"CEP295NL",0,4,0,1,0,2,0,2
"LGALS3BP",68968,56589,39538,79899,46269,60896,35801,50736
"CANT1",15181,11506,10046,15969,7972,9877,10100,12528
"C1QTNF1",20,23,8,28,14,6,12,9
"ENGASE",1589,1402,1160,1844,1029,1396,788,1207
"RBFOX3",25,28,16,27,18,30,11,14
"LINC02078",20,16,4,27,7,26,21,5
"ENPP7",5,4,6,8,0,6,2,8
"CBX2",12222,10291,7870,12099,6841,8920,7104,10038
"CBX8",1678,1418,1423,2329,1115,1434,1095,1243
"CBX4",6767,6325,6179,9122,4166,7138,4478,5065
"LINC01979",65,66,59,61,46,78,57,51
"LINC01978",22,19,13,14,13,21,21,28
"TBC1D16",6123,6401,4799,5990,4069,5405,5085,6554
"CCDC40",332,254,246,362,167,232,251,245
"GAA",12517,10730,10686,15423,8490,11689,7305,11519
"EIF4A3",15443,13611,12309,16819,9983,13106,13758,14184
"CARD14",803,632,629,1000,485,654,462,725
"SGSH",4027,3958,3513,4679,2688,3637,2550,3659
"SLC26A11",1671,1356,1233,1930,970,1395,969,1296
"RNF213",64074,57335,31364,56603,21857,33297,36954,49031
"RNF213-AS1",179,150,93,149,55,114,109,133
"ENDOV",1777,1252,1418,2465,1441,1792,866,1182
"MIR4730",7,2,2,7,2,3,2,2
"NPTX1",125,155,121,137,77,126,94,116
"RPTOR",4266,4293,2888,5019,2668,3713,2538,3655
"CHMP6",2344,2040,1777,3157,1934,2644,1391,1702
"BAIAP2-DT",1727,1385,1082,1709,909,1069,1060,1444
"BAIAP2",4291,4107,3266,5142,3445,4615,2657,3915
"AATK",437,372,286,549,219,429,145,206
"MIR657",0,2,1,0,0,0,1,0
"MIR3065",0,0,0,0,1,0,0,0
"PVALEF",14,7,4,10,7,14,3,9
"CEP131",2396,1889,1716,3237,1937,2533,986,1488
"TEPSIN",1797,1432,1413,2100,1083,1679,1020,1379
"NDUFAF8",1272,1194,1186,1647,1312,1528,1051,1108
"SLC38A10",9727,8432,7901,12658,6795,10071,5158,7773
"TMEM105",831,637,567,802,468,658,516,642
"BAHCC1",1402,1230,1227,1558,702,1105,887,1446
"MIR4740",0,1,1,0,0,0,0,0
"MIR3186",5,8,3,6,0,3,3,5
"ACTG1",239249,184968,150308,291194,142431,177977,132736,154291
"FSCN2",1275,1175,823,1469,783,1249,663,940
"FAAP100",3732,3395,2614,4967,2731,4019,1730,2590
"NPLOC4",13883,12510,9804,14173,8527,10964,9881,12648
"TSPAN10",55,47,29,66,33,50,36,27
"PDE6G",35,16,5,21,8,18,19,21
"OXLD1",2516,2145,2383,3381,2245,2729,1591,2167
"CCDC137",2773,2292,1995,3626,2278,2680,1593,1866
"ARL16",871,644,731,1000,663,816,594,560
"HGS",10939,9792,8470,13362,7766,10563,6821,9266
"MRPL12",7730,7178,6275,9566,7874,9009,5271,6364
"SLC25A10",7361,7458,5525,9762,6727,9324,3969,5488
"GCGR",3,6,3,3,5,8,3,1
"MCRIP1",2029,1341,1626,2618,1891,2029,872,1255
"PPP1R27",9,4,5,10,4,13,3,13
"P4HB",64730,58023,43824,68706,43687,54108,44895,56995
"ARHGDIA",22001,18461,16209,27961,20060,23621,11373,16342
"ALYREF",11439,9257,7450,13520,9494,10268,5997,7372
"ANAPC11",4287,3305,4018,6018,3734,4589,2065,2774
"NPB",9,5,14,24,6,24,5,8
"PCYT2",5092,5155,3653,6230,3865,5067,3488,4424
"SIRT7",3420,2731,2550,3880,2239,2582,2001,2532
"MAFG",3503,2695,2142,4136,1940,2300,2157,2638
"MILIP",963,934,764,1093,857,1037,702,928
"PYCR1",13928,13285,9975,17454,11411,15501,8185,10245
"MYADML2",72,74,67,87,22,67,60,80
"NOTUM",964,979,964,1478,1032,1422,529,763
"ASPSCR1",3718,3453,3414,5093,3705,4508,2291,3320
"CENPX",10210,8092,8780,12596,9873,10494,6900,8461
"LRRC45",4053,3707,3573,5824,3682,5488,2413,3538
"RAC3",3115,2707,2423,4002,2688,3323,1468,2010
"DCXR",14017,12460,12966,16435,14270,15480,11107,13603
"RFNG",2083,1871,1838,2836,1629,2264,1186,1578
"GPS1",11074,10078,8630,13682,8564,11028,6584,9223
"DUS1L",10061,9381,8387,13105,10174,12046,6079,7537
"FASN",90617,101282,62961,136318,72100,120496,41363,66911
"CCDC57",3774,3537,3051,4732,3626,3979,2279,2762
"SLC16A3",693,540,477,805,481,629,342,492
"MIR6787",0,0,1,0,0,0,0,0
"CSNK1D",15953,12851,10560,17310,9124,11360,10311,13228
"CD7",8,5,9,15,8,7,1,8
"SECTM1",473,290,207,420,196,319,180,280
"TEX19",545,386,184,510,280,380,188,238
"UTS2R",0,0,0,1,0,1,0,0
"OGFOD3",2273,1845,1443,2701,1629,2158,1150,1592
"HEXD",1581,1176,1288,2191,1164,1667,757,1011
"CYBC1",7201,5591,4767,8535,4696,6305,4041,5848
"NARF",3448,2635,2656,3776,2339,2891,2282,2722
"FOXK2",10526,9083,7694,11585,6400,8577,6581,7984
"WDR45B",9246,8490,7606,11324,5806,7998,6817,7383
"RAB40B",821,895,880,1002,640,967,727,764
"MIR4525",0,0,0,0,0,0,2,0
"FN3KRP",4174,3622,3396,4639,2704,3446,3003,3379
"FN3K",617,530,439,593,449,519,376,489
"TBCD",5491,5111,3751,5953,2863,4367,3855,4939
"ZNF750",615,492,410,735,321,431,401,457
"B3GNTL1",87,71,75,154,66,89,65,85
"METRNL",11,3,2,10,2,6,0,3
"RPL23AP87",48,36,32,66,24,27,27,50
"MIR8078",0,0,0,1,0,0,1,2
"USP14",8220,8772,8638,9699,4566,8228,8070,6735
"THOC1",2288,2042,2206,2760,1436,2038,1946,1671
"COLEC12",147,36,63,149,22,37,72,39
"LINC01925",2,1,0,2,0,0,2,0
"CLUL1",24,24,29,24,5,18,15,26
"TYMS",1621,1446,945,1682,1006,1199,1216,1247
"ENOSF1",3595,3355,2909,3715,1893,2952,2835,2813
"YES1",3256,3222,3216,3501,1554,2463,2776,2760
"METTL4",686,578,676,833,400,632,546,498
"NDC80",1907,1804,1898,2537,1135,1997,1757,1386
"CBX3P2",73,84,82,109,51,84,100,72
"SMCHD1",4296,4295,3879,4651,1684,3047,3328,3414
"EMILIN2",22,15,12,29,28,19,12,11
"LPIN2",1075,1026,906,1191,505,660,915,1110
