"gene","Control","Aldo","Fine","Spiro","Aldo_Fine","Aldo_Spiro"
"ADH7",0,0,0,0,0,0
"ADHFE1",441,292,492,380,434,319
"ADI1",4505,3277,3568,3200,2989,3224
"ADIG",0,0,0,0,1,0
"ADIPOQ",1,0,1,0,0,1
"ADIPOQ-AS1",0,0,0,1,0,0
"ADIPOR1",23745,18554,19432,17921,18081,18314
"ADIPOR2",40067,32935,33594,31885,31437,32328
"ADIRF",84,88,113,83,92,71
"ADK",13665,10720,10488,10041,9677,10226
"ADM",1869,1588,1503,1316,1527,1427
"ADM2",1160,909,965,975,971,895
"ADM5",373,248,327,307,317,243
"ADNP",40434,33486,35252,32554,31570,32484
"ADNP-AS1",437,295,402,308,317,317
"ADNP2",15341,12478,12988,11699,11659,12217
"ADO",12068,8942,9408,8637,8267,8901
"ADORA1",6733,5103,5174,4977,5120,4926
"ADORA2A",13,11,27,10,27,14
"ADORA2A-AS1",68,49,81,69,61,47
"ADORA2B",7729,5891,5597,5577,5207,5668
"ADORA3",2,0,6,5,3,2
"ADPGK",18564,14089,15292,13891,14001,14250
"ADPGK-AS1",8,6,14,12,8,7
"ADPRH",624,551,494,516,463,495
"ADPRHL1",188,125,162,156,165,150
"ADPRM",1256,978,1088,941,903,911
"ADPRS",9844,7658,7363,7072,7228,7239
"ADRA1A",2,0,0,0,0,1
"ADRA1B",289,309,192,203,251,176
"ADRA1D",56,55,33,44,63,48
"ADRA2A",47,30,32,38,47,40
"ADRA2B",2,4,2,2,5,3
"ADRA2C",29,34,23,21,21,32
"ADRB1",93,80,100,70,83,80
"ADRB2",868,569,705,644,557,614
"ADRB3",0,0,3,0,3,0
"ADRM1",23249,17320,18444,16574,17847,16968
"ADSL",14005,10720,10800,10225,10281,10448
"ADSS1",370,267,312,286,309,265
"ADSS2",23959,18564,18619,18417,17458,18014
"ADTRP",593,425,578,469,496,462
"AEBP1",28,17,21,24,21,32
"AEBP2",11311,8876,9264,8694,8088,8960
"AEN",8830,6915,7124,6587,6692,6675
"AFAP1",13866,11046,12404,11333,11535,11695
"AFAP1-AS1",24,23,40,42,44,31
"AFAP1L1",2514,2350,1986,1884,1929,1941
"AFAP1L2",8788,6569,7163,6796,7126,6946
"AFDN",21981,19329,20750,18861,19081,18353
"AFF1",19782,15850,19288,17600,17391,17208
"AFF2",74,47,53,57,48,39
"AFF3",1289,1137,1235,1153,1195,1120
"AFF4",34869,32298,33227,30131,29640,31787
"AFG1L",1001,794,836,805,861,857
"AFG3L1P",3249,2542,3375,2760,2999,2524
"AFG3L2",11330,9138,9285,8834,8714,8965
"AFM",13,18,6,13,7,5
"AFMID",2173,1665,1836,1639,1783,1679
"AFP",31,20,21,23,18,21
"AFTPH",10746,8572,9016,8390,8196,8597
"AFTPH-DT",20,21,28,38,27,23
"AGA",3946,2920,3220,3092,2836,3044
"AGAP1",5699,4754,4810,4701,4736,4623
"AGAP2",441,397,414,379,390,359
"AGAP2-AS1",524,374,352,346,399,358
"AGAP3",7438,5428,6215,5782,5912,5485
"AGAP4",166,117,190,177,171,143
"AGAP5",283,150,263,225,248,221
"AGAP6",1150,801,1363,966,1016,908
"AGAP9",488,366,562,402,490,348
"AGBL1",0,0,1,0,1,0
"AGBL1-AS1",0,0,0,0,0,0
"AGBL2",188,122,244,189,175,131
"AGBL3",248,185,263,271,204,202
"AGBL4",14,15,18,13,13,13
"AGBL4-AS1",0,0,0,0,0,0
"AGBL4-IT1",0,0,0,0,0,0
"AGBL5",9251,7060,7537,7111,7256,7015
"AGBL5-AS1",7,4,7,8,4,5
"AGER",12,9,11,32,8,2
"AGFG1",17381,13896,14726,13329,12748,13968
"AGFG2",2778,2733,2229,2102,2316,2140
"AGGF1",10239,8163,8502,7876,7652,8262
"AGK",1522,1464,1377,1332,1296,1550
"AGL",10949,9448,10325,9768,9224,9308
"AGMAT",23,3,9,11,12,6
"AGMO",11,11,8,10,11,11
"AGO1",9692,9075,9412,8718,9175,9424
"AGO2",13483,12486,13045,11834,12280,12207
"AGO3",6027,4698,5637,4873,4717,4749
"AGO4",4903,4279,4539,4182,4346,4174
"AGPAT1",148,117,110,109,101,99
"AGPAT2",7302,5358,5179,5012,5512,5445
"AGPAT3",17498,14208,14670,13443,14420,14676
"AGPAT4",2272,1806,2115,2003,2080,1823
"AGPAT5",13785,10932,10850,10284,10109,10656
"AGPS",32835,27837,27433,25929,25236,27003
"AGR2",1,0,0,0,0,0
"AGR3",0,0,0,0,0,0
"AGRN",92170,72783,88810,80739,86166,75748
"AGRP",2,0,3,3,2,2
"AGT",19,17,20,10,11,6
"AGTPBP1",9207,7572,7794,7162,7021,7219
"AGTR1",139,85,107,111,109,115
"AGTR2",1,2,0,2,1,3
"AGTRAP",5221,3744,3996,3692,3938,3890
"AGXT",0,1,1,0,1,2
"AGXT2",14,7,4,8,9,6
"AHCTF1",26648,22922,24476,22372,21697,22805
"AHCY",40731,30819,32263,30356,30940,30078
"AHCYL1",32503,26153,28185,25752,26017,25944
"AHCYL2",2861,2400,2631,2359,2519,2299
"AHDC1",5684,4893,5209,4624,5070,4538
"AHI1",5618,4578,5378,4754,4740,4667
"AHI1-DT",12,7,16,6,8,4
"AHNAK",131125,144662,144317,133772,137119,132015
"AHNAK2",6064,6394,5863,5817,6117,5949
"AHR",11324,8237,8942,8437,7760,8427
"AHRR",8007,5535,7001,6304,6332,5864
"AHSA1",37113,27729,28948,27083,26991,28213
"AHSA2P",6543,4834,8273,6646,7174,4471
"AHSG",21,14,15,14,13,17
"AHSP",0,0,0,0,0,0
"AICDA",2,2,1,3,1,2
"AIDA",6972,5891,5734,5835,5281,5592
"AIF1",0,0,0,0,0,0
"AIF1L",5148,4131,4161,4032,4066,4161
"AIFM1",14107,11103,11296,10890,10539,10811
"AIFM2",6044,4459,4576,4315,4687,4337
"AIFM3",1024,807,1042,884,992,812
"AIG1",4325,3276,3365,3325,3266,3272
"AIM2",47,18,23,22,23,26
"AIMP1",11136,8439,8737,8058,7622,8266
"AIMP2",2130,1583,1701,1561,1530,1495
"AIP",9369,6861,7001,6658,7092,6897
"AIPL1",7,7,5,15,7,4
"AIRE",3,4,5,3,3,3
"AIRN",3,1,2,0,0,0
"AJAP1",0,0,0,0,0,0
"AJM1",238,198,234,199,173,164
"AJUBA",61600,40596,49471,45666,45492,43276
"AK1",5507,3909,4136,3966,4090,3853
"AK2",29699,22262,24541,22671,22625,22173
